
---------- Begin Simulation Statistics ----------
final_tick                                84706173500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  57226                       # Simulator instruction rate (inst/s)
host_mem_usage                                 876992                       # Number of bytes of host memory used
host_op_rate                                   108849                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1747.47                       # Real time elapsed on the host
host_tick_rate                               48473691                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     190209485                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.084706                       # Number of seconds simulated
sim_ticks                                 84706173500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 114490412                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 70283462                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     190209485                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.694123                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.694123                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5252681                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3758571                       # number of floating regfile writes
system.cpu.idleCycles                        13577949                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              2229360                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 24275172                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.430244                       # Inst execution rate
system.cpu.iew.exec_refs                     54660344                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   21200655                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 9987768                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              36139978                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              15423                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            162181                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             23279863                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           262660450                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              33459689                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           3322502                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             242301062                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  59950                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4448518                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                2008644                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4522671                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          46219                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1605614                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         623746                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 261812662                       # num instructions consuming a value
system.cpu.iew.wb_count                     239023763                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.644248                       # average fanout of values written-back
system.cpu.iew.wb_producers                 168672191                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.410899                       # insts written-back per cycle
system.cpu.iew.wb_sent                      241155120                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                347974786                       # number of integer regfile reads
system.cpu.int_regfile_writes               187541473                       # number of integer regfile writes
system.cpu.ipc                               0.590276                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.590276                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4824963      1.96%      1.96% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             184040021     74.93%     76.89% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               175235      0.07%     76.96% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 27136      0.01%     76.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              130542      0.05%     77.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     77.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                17482      0.01%     77.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               195199      0.08%     77.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   52      0.00%     77.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                89777      0.04%     77.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              374162      0.15%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               3760      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             180      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            1119      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv             109      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            268      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             31173143     12.69%     90.00% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            17820912      7.26%     97.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         2982801      1.21%     98.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        3766523      1.53%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              245623564                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 8521772                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            16215915                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      7510869                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes           13515450                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     4063879                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.016545                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 2493961     61.37%     61.37% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     61.37% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     61.37% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     61.37% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     61.37% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     61.37% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     61.37% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     61.37% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     61.37% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     61.37% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     61.37% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                     13      0.00%     61.37% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     61.37% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                   8340      0.21%     61.57% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     61.57% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    534      0.01%     61.59% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   496      0.01%     61.60% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                    14      0.00%     61.60% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     61.60% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                   78      0.00%     61.60% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     61.60% # attempts to use FU when none available
