
---------- Begin Simulation Statistics ----------
final_tick                                84401290000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  42452                       # Simulator instruction rate (inst/s)
host_mem_usage                                 873148                       # Number of bytes of host memory used
host_op_rate                                    80748                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2355.59                       # Real time elapsed on the host
host_tick_rate                               35830284                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     190209485                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.084401                       # Number of seconds simulated
sim_ticks                                 84401290000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 114355326                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 70307499                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     190209485                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.688026                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.688026                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5297577                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3820855                       # number of floating regfile writes
system.cpu.idleCycles                        13748434                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              2164636                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 24176171                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.433601                       # Inst execution rate
system.cpu.iew.exec_refs                     54813308                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   21330131                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                10080190                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              36117415                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              19824                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            121990                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             23373918                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           261885383                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              33483177                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           3218665                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             241995518                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  59594                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4434574                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1957813                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4514167                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          43863                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1579492                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         585144                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 261919430                       # num instructions consuming a value
system.cpu.iew.wb_count                     238725064                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.643458                       # average fanout of values written-back
system.cpu.iew.wb_producers                 168534098                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.414226                       # insts written-back per cycle
system.cpu.iew.wb_sent                      240861484                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                348130663                       # number of integer regfile reads
system.cpu.int_regfile_writes               187269973                       # number of integer regfile writes
system.cpu.ipc                               0.592408                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.592408                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4710579      1.92%      1.92% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             183611018     74.88%     76.80% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               175812      0.07%     76.87% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 26927      0.01%     76.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              131620      0.05%     76.94% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     76.94% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     76.94% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     76.94% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     76.94% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     76.94% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     76.94% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     76.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                18094      0.01%     76.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     76.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               192042      0.08%     77.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   48      0.00%     77.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                89299      0.04%     77.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              376412      0.15%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               3535      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             188      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            1076      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv             102      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            249      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.21% # Type of FU issued
