
---------- Begin Simulation Statistics ----------
final_tick                                84522927500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  39613                       # Simulator instruction rate (inst/s)
host_mem_usage                                 881340                       # Number of bytes of host memory used
host_op_rate                                    75347                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2524.43                       # Real time elapsed on the host
host_tick_rate                               33481941                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     190209485                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.084523                       # Number of seconds simulated
sim_ticks                                 84522927500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 114087573                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 70084324                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     190209485                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.690459                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.690459                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5291024                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3797148                       # number of floating regfile writes
system.cpu.idleCycles                        13843783                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              2200287                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 24142011                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.426892                       # Inst execution rate
system.cpu.iew.exec_refs                     54541353                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   21192952                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 9942066                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              36003706                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              15599                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            146502                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             23203936                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           261081835                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              33348401                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           3197699                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             241210132                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  64106                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4402021                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1981107                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4483714                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          44941                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1662062                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         538225                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 260964034                       # num instructions consuming a value
system.cpu.iew.wb_count                     237979728                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.643459                       # average fanout of values written-back
system.cpu.iew.wb_producers                 167919674                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.407782                       # insts written-back per cycle
system.cpu.iew.wb_sent                      240108775                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                346798763                       # number of integer regfile reads
system.cpu.int_regfile_writes               186696434                       # number of integer regfile writes
system.cpu.ipc                               0.591555                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.591555                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4710142      1.93%      1.93% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             183074066     74.91%     76.83% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               174401      0.07%     76.90% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 26989      0.01%     76.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              135667      0.06%     76.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     76.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     76.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     76.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     76.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     76.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     76.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     76.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                18597      0.01%     76.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     76.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               191778      0.08%     77.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   52      0.00%     77.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                91024      0.04%     77.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              378045      0.15%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               3840      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             208      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            1149      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv             136      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            245      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             31022554     12.69%     89.94% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            17781797      7.28%     97.22% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         3005463      1.23%     98.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        3791498      1.55%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              244407831                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 8590635                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            16344566                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      7573098                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes           13548384                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     4109820                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.016815                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 2512858     61.14%     61.14% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     61.14% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     61.14% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     61.14% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     61.14% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     61.14% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     61.14% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     61.14% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     61.14% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     61.14% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     61.14% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      3      0.00%     61.14% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     61.14% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                   7607      0.19%     61.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     61.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    630      0.02%     61.34% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   484      0.01%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                    14      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                   76      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     61.36% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                 253216      6.16%     67.52% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                493581     12.01%     79.53% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead            714507     17.39%     96.91% # attempts to use FU when none available
