
---------- Begin Simulation Statistics ----------
final_tick                                83917240500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  52960                       # Simulator instruction rate (inst/s)
host_mem_usage                                 873916                       # Number of bytes of host memory used
host_op_rate                                   100735                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1888.21                       # Real time elapsed on the host
host_tick_rate                               44442642                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     190209485                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.083917                       # Number of seconds simulated
sim_ticks                                 83917240500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 113764414                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 69838093                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     190209485                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.678345                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.678345                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5268011                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3788784                       # number of floating regfile writes
system.cpu.idleCycles                        13599456                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              2073915                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 24071602                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.432001                       # Inst execution rate
system.cpu.iew.exec_refs                     54435820                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   21179480                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 9707539                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              35775508                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              18596                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            142630                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             23109923                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           259572355                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              33256340                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           3055246                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             240339131                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  60015                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4415594                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1883395                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4492014                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          44051                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1493776                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         580139                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 259960130                       # num instructions consuming a value
system.cpu.iew.wb_count                     237161232                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.643711                       # average fanout of values written-back
system.cpu.iew.wb_producers                 167339111                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.413066                       # insts written-back per cycle
system.cpu.iew.wb_sent                      239253721                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                345985347                       # number of integer regfile reads
system.cpu.int_regfile_writes               185961151                       # number of integer regfile writes
system.cpu.ipc                               0.595825                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.595825                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4676119      1.92%      1.92% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             182273627     74.89%     76.81% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               174949      0.07%     76.88% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 26771      0.01%     76.89% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              133123      0.05%     76.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     76.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     76.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     76.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     76.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     76.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     76.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     76.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                17946      0.01%     76.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     76.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               187524      0.08%     77.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   42      0.00%     77.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                89497      0.04%     77.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              374583      0.15%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4806      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             161      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             994      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              88      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            217      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.22% # Type of FU issued
