
---------- Begin Simulation Statistics ----------
final_tick                                97596090500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  50471                       # Simulator instruction rate (inst/s)
host_mem_usage                                 879040                       # Number of bytes of host memory used
host_op_rate                                    96001                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1981.33                       # Real time elapsed on the host
host_tick_rate                               49257809                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     190209485                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.097596                       # Number of seconds simulated
sim_ticks                                 97596090500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 122483914                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 76048382                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     190209485                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.951922                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.951922                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5521323                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3895690                       # number of floating regfile writes
system.cpu.idleCycles                        15396484                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              4583349                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 26645458                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.403978                       # Inst execution rate
system.cpu.iew.exec_refs                     60856237                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   23237804                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                15556311                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              43106819                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              18744                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            473894                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             27178081                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           313213055                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              37618433                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           7071218                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             274045509                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  48306                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4425842                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                3981899                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4483991                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          48726                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      3188833                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1394516                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 290294953                       # num instructions consuming a value
system.cpu.iew.wb_count                     269125197                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.651551                       # average fanout of values written-back
system.cpu.iew.wb_producers                 189141995                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.378770                       # insts written-back per cycle
system.cpu.iew.wb_sent                      271981450                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                384739850                       # number of integer regfile reads
system.cpu.int_regfile_writes               212379605                       # number of integer regfile writes
system.cpu.ipc                               0.512316                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.512316                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           6514408      2.32%      2.32% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             210303659     74.81%     77.13% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               182085      0.06%     77.19% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 27099      0.01%     77.20% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              150616      0.05%     77.26% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.26% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.26% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  1      0.00%     77.26% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.26% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.26% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.26% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.26% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                17839      0.01%     77.26% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.26% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               236284      0.08%     77.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   78      0.00%     77.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                98706      0.04%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              392568      0.14%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               5002      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             440      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            1671      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv             126      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            630      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             36007171     12.81%     90.33% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            20197187      7.18%     97.52% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         3075891      1.09%     98.61% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        3905086      1.39%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              281116727                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 8886758                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            16935169                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      7751800                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes           14404962                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     4341396                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.015443                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 2699403     62.18%     62.18% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     62.18% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     62.18% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     62.18% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     62.18% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     62.18% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     62.18% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     62.18% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     62.18% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     62.18% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     62.18% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                     16      0.00%     62.18% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     62.18% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                   9450      0.22%     62.40% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     62.40% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    978      0.02%     62.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   497      0.01%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                    14      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                  143      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     62.43% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                 278601      6.42%     68.85% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                496871     11.44%     80.30% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead            708542     16.32%     96.62% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite           146881      3.38%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses              270056957                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads          729974400                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses    261373397                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes         421857335                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                  313143555                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                 281116727                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded               69500                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined       123003550                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued            539021                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved          42556                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined    134718649                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples     179795698                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         1.563534                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        2.225323                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0           102228173     56.86%     56.86% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1            13968069      7.77%     64.63% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2            13407556      7.46%     72.08% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3            12471786      6.94%     79.02% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4            11972835      6.66%     85.68% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::5             9651088      5.37%     91.05% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::6             8511908      4.73%     95.78% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::7             4974304      2.77%     98.55% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::8             2609979      1.45%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::overflows            0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::min_value            0                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::max_value            8                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::total       179795698                       # Number of insts issued each cycle
system.cpu.iq.rate                           1.440205                       # Inst issue rate
system.cpu.iq.vec_alu_accesses                      0                       # Number of vector alu accesses
system.cpu.iq.vec_inst_queue_reads                  0                       # Number of vector instruction queue reads
system.cpu.iq.vec_inst_queue_wakeup_accesses            0                       # Number of vector instruction queue wakeup accesses
system.cpu.iq.vec_inst_queue_writes                 0                       # Number of vector instruction queue writes
system.cpu.memDep0.conflictingLoads           2089227                       # Number of conflicting loads.
system.cpu.memDep0.conflictingStores          2571745                       # Number of conflicting stores.
system.cpu.memDep0.insertedLoads             43106819                       # Number of loads inserted to the mem dependence unit.
system.cpu.memDep0.insertedStores            27178081                       # Number of stores inserted to the mem dependence unit.
system.cpu.misc_regfile_reads               124773020                       # number of misc regfile reads
system.cpu.misc_regfile_writes                     54                       # number of misc regfile writes
system.cpu.numCycles                        195192182                       # number of cpu cycles simulated
system.cpu.numWorkItemsCompleted                    0                       # number of work items this cpu completed
system.cpu.numWorkItemsStarted                      0                       # number of work items this cpu started
system.cpu.timesIdled                         1518245                       # Number of times that the entire CPU went into an idle state and unscheduled itself
system.cpu.workload.numSyscalls                   474                       # Number of system calls
system.membus.snoop_filter.hit_multi_requests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_single_requests       250540                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.tot_requests        509265                       # Total number of requests made to the snoop filter.
system.membus.snoop_filter.tot_snoops               0                       # Total number of snoops made to the snoop filter.
system.tol2bus.snoop_filter.hit_multi_requests        16738                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_multi_snoops           10                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_single_requests      4871709                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.hit_single_snoops         2237                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.tot_requests      9747490                       # Total number of requests made to the snoop filter.
system.tol2bus.snoop_filter.tot_snoops           2247                       # Total number of snoops made to the snoop filter.
system.clk_domain.clock                           250                       # Clock period in ticks
system.cpu.branchPred.lookups                39944080                       # Number of BP lookups
system.cpu.branchPred.condPredicted          29158911                       # Number of conditional branches predicted
system.cpu.branchPred.condIncorrect           4362640                       # Number of conditional branches incorrect
system.cpu.branchPred.BTBLookups             19335645                       # Number of BTB lookups
system.cpu.branchPred.BTBHits                14564217                       # Number of BTB hits
system.cpu.branchPred.BTBHitPct             75.323151                       # BTB Hit Percentage
system.cpu.branchPred.RASUsed                 2169201                       # Number of times the RAS was used to get a target.
system.cpu.branchPred.RASIncorrect               3739                       # Number of incorrect RAS predictions.
system.cpu.branchPred.indirectLookups         3143473                       # Number of indirect predictor lookups.
system.cpu.branchPred.indirectHits             539721                       # Number of indirect target hits.
system.cpu.branchPred.indirectMisses          2603752                       # Number of indirect misses.
