
---------- Begin Simulation Statistics ----------
final_tick                                92662900500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  54500                       # Simulator instruction rate (inst/s)
host_mem_usage                                 883136                       # Number of bytes of host memory used
host_op_rate                                   103664                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1834.86                       # Real time elapsed on the host
host_tick_rate                               50501326                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     190209485                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.092663                       # Number of seconds simulated
sim_ticks                                 92662900500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 119662238                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 73893122                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     190209485                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.853258                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.853258                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5398444                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3828199                       # number of floating regfile writes
system.cpu.idleCycles                        14810054                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              3743955                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 25802000                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.416176                       # Inst execution rate
system.cpu.iew.exec_refs                     58699518                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   22492095                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                13526630                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              40642713                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              17897                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            300849                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             25719320                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           294166389                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              36207423                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           5608108                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             262453932                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  52342                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4393116                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                3253292                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4458505                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          48452                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      2622652                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1121303                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 280036282                       # num instructions consuming a value
system.cpu.iew.wb_count                     258120411                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.648804                       # average fanout of values written-back
system.cpu.iew.wb_producers                 181688762                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.392793                       # insts written-back per cycle
system.cpu.iew.wb_sent                      260705218                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                371756396                       # number of integer regfile reads
system.cpu.int_regfile_writes               203278012                       # number of integer regfile writes
system.cpu.ipc                               0.539590                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.539590                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           5895274      2.20%      2.20% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             200540504     74.81%     77.01% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               179041      0.07%     77.08% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 26975      0.01%     77.09% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              138356      0.05%     77.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  2      0.00%     77.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                17926      0.01%     77.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               216870      0.08%     77.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   86      0.00%     77.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                92997      0.03%     77.26% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              381416      0.14%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4556      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             194      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            1458      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv             118      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            262      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.41% # Type of FU issued
