
---------- Begin Simulation Statistics ----------
final_tick                                94186437000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  45556                       # Simulator instruction rate (inst/s)
host_mem_usage                                 882108                       # Number of bytes of host memory used
host_op_rate                                    86652                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2195.09                       # Real time elapsed on the host
host_tick_rate                               42907837                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     190209485                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.094186                       # Number of seconds simulated
sim_ticks                                 94186437000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 121980640                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 75442626                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     190209485                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.883729                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.883729                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5448589                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3864979                       # number of floating regfile writes
system.cpu.idleCycles                        14705154                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              3953373                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 26258430                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.423964                       # Inst execution rate
system.cpu.iew.exec_refs                     59648245                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   22740006                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                14545533                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              41696567                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              17922                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            290432                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             26349590                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           303415550                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              36908239                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           6100277                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             268236231                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  52049                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4430295                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                3427733                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4492386                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          51308                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      2911546                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1041827                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 286842367                       # num instructions consuming a value
system.cpu.iew.wb_count                     263642761                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.648949                       # average fanout of values written-back
system.cpu.iew.wb_producers                 186146068                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.399579                       # insts written-back per cycle
system.cpu.iew.wb_sent                      266318946                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                378111264                       # number of integer regfile reads
system.cpu.int_regfile_writes               208188148                       # number of integer regfile writes
system.cpu.ipc                               0.530862                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.530862                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           5836049      2.13%      2.13% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             205774744     75.01%     77.14% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               178020      0.06%     77.20% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 28112      0.01%     77.21% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              156906      0.06%     77.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     77.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                18993      0.01%     77.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               216469      0.08%     77.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   56      0.00%     77.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                95162      0.03%     77.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              398740      0.15%     77.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     77.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4952      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             344      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            1487      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv             117      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            457      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             35132909     12.81%     90.34% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            19595560      7.14%     97.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         3038457      1.11%     98.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        3858794      1.41%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              274336508                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 8779474                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            16734830                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      7680491                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes           14322360                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     4459223                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.016255                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
