
---------- Begin Simulation Statistics ----------
final_tick                                87540924500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  51262                       # Simulator instruction rate (inst/s)
host_mem_usage                                 878012                       # Number of bytes of host memory used
host_op_rate                                    97505                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1950.77                       # Real time elapsed on the host
host_tick_rate                               44875033                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     190209485                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.087541                       # Number of seconds simulated
sim_ticks                                 87540924500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 116555455                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 71722288                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     190209485                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.750819                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.750819                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5313859                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3802793                       # number of floating regfile writes
system.cpu.idleCycles                        14117334                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              2731346                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 24807855                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.427412                       # Inst execution rate
system.cpu.iew.exec_refs                     56324485                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   21765467                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                11457770                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              37902748                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              19023                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            207555                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             24260417                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           274635678                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              34559018                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           4085663                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             249913850                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  58331                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4394067                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                2441387                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4468460                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          47106                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1948105                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         783241                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 269162898                       # num instructions consuming a value
system.cpu.iew.wb_count                     246234737                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.645307                       # average fanout of values written-back
system.cpu.iew.wb_producers                 173692746                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.406398                       # insts written-back per cycle
system.cpu.iew.wb_sent                      248533746                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                357293850                       # number of integer regfile reads
system.cpu.int_regfile_writes               193540667                       # number of integer regfile writes
system.cpu.ipc                               0.571161                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.571161                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           5093614      2.01%      2.01% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             190193478     74.88%     76.88% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               176611      0.07%     76.95% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 26853      0.01%     76.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              135924      0.05%     77.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     77.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                17969      0.01%     77.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               196103      0.08%     77.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   42      0.00%     77.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                89080      0.04%     77.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              377971      0.15%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4396      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             161      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            1058      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              96      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            235      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             32405665     12.76%     90.05% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            18440635      7.26%     97.31% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         3021063      1.19%     98.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        3818379      1.50%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              253999513                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 8640204                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            16440651                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      7598579                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes           13688806                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     4169408                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.016415                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 2571158     61.67%     61.67% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     61.67% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     61.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     61.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     61.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     61.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     61.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     61.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     61.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     61.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     61.67% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                     14      0.00%     61.67% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     61.67% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                   7982      0.19%     61.86% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     61.86% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    565      0.01%     61.87% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   485      0.01%     61.88% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                    14      0.00%     61.88% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     61.88% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                   73      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     61.89% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                 257743      6.18%     68.07% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                486179     11.66%     79.73% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead            713079     17.10%     96.83% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite           132116      3.17%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses              244435103                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads          657079847                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses    238636158                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes         345417838                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                  274567167                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                 253999513                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded               68511                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined        84426173                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued            387548                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved          41567                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined     87001894                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples     160964516                       # Number of insts issued each cycle
