
---------- Begin Simulation Statistics ----------
final_tick                                97238789000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  45036                       # Simulator instruction rate (inst/s)
host_mem_usage                                 887488                       # Number of bytes of host memory used
host_op_rate                                    85663                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2220.44                       # Real time elapsed on the host
host_tick_rate                               43792588                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     190209485                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.097239                       # Number of seconds simulated
sim_ticks                                 97238789000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 122318913                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 75951886                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     190209485                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.944776                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.944776                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5464672                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3880944                       # number of floating regfile writes
system.cpu.idleCycles                        14736133                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              4480147                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 26451774                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.394668                       # Inst execution rate
system.cpu.iew.exec_refs                     60660349                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   23109710                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                14582138                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              42843793                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              18851                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            518856                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             26913414                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           308133379                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              37550639                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           6845597                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             271231663                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  39869                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4412690                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                3915927                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4458728                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          43252                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      2566922                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1913225                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 286591313                       # num instructions consuming a value
system.cpu.iew.wb_count                     266278981                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.653471                       # average fanout of values written-back
system.cpu.iew.wb_producers                 187279111                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.369201                       # insts written-back per cycle
system.cpu.iew.wb_sent                      269097472                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                383059491                       # number of integer regfile reads
system.cpu.int_regfile_writes               210265776                       # number of integer regfile writes
system.cpu.ipc                               0.514198                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.514198                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           5968430      2.15%      2.15% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             208100245     74.84%     76.98% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               178116      0.06%     77.05% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 27165      0.01%     77.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              140223      0.05%     77.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  1      0.00%     77.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                18014      0.01%     77.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               218196      0.08%     77.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   82      0.00%     77.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               102530      0.04%     77.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              388457      0.14%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4402      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             394      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            1505      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              89      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            516      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.37% # Type of FU issued
