
---------- Begin Simulation Statistics ----------
final_tick                                89126452000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  49930                       # Simulator instruction rate (inst/s)
host_mem_usage                                 879296                       # Number of bytes of host memory used
host_op_rate                                    94971                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2002.81                       # Real time elapsed on the host
host_tick_rate                               44500761                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     190209485                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.089126                       # Number of seconds simulated
sim_ticks                                 89126452000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 117503986                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 72379978                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     190209485                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.782529                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.782529                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5334102                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3828780                       # number of floating regfile writes
system.cpu.idleCycles                        14139294                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              3020997                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 25097205                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.420254                       # Inst execution rate
system.cpu.iew.exec_refs                     56854698                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   21975592                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                11867804                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              38502080                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              19229                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            274390                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             24538680                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           279371677                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              34879106                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           4507382                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             253164418                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  52191                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4425566                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                2665393                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4492992                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          47130                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      2094806                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         926191                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 271139667                       # num instructions consuming a value
system.cpu.iew.wb_count                     249317795                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.647475                       # average fanout of values written-back
system.cpu.iew.wb_producers                 175556224                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.398675                       # insts written-back per cycle
system.cpu.iew.wb_sent                      251701655                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                360734157                       # number of integer regfile reads
system.cpu.int_regfile_writes               195903683                       # number of integer regfile writes
system.cpu.ipc                               0.561001                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.561001                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           5401836      2.10%      2.10% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             192911326     74.87%     76.96% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               177281      0.07%     77.03% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 26826      0.01%     77.04% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              135551      0.05%     77.10% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.10% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.10% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  1      0.00%     77.10% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.10% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.10% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.10% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                17675      0.01%     77.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               203538      0.08%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   56      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                91536      0.04%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              378919      0.15%     77.36% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     77.36% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.36% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               3967      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             208      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            1184      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv             111      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            271      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             32776109     12.72%     90.09% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            18675689      7.25%     97.33% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         3050403      1.18%     98.52% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        3819133      1.48%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              257671800                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 8682573                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            16523799                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      7622930                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes           13787200                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     4170374                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.016185                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 2563649     61.47%     61.47% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     61.47% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     61.47% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     61.47% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     61.47% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     61.47% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     61.47% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     61.47% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     61.47% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     61.47% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     61.47% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      3      0.00%     61.47% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     61.47% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                   8395      0.20%     61.67% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     61.67% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    598      0.01%     61.69% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   492      0.01%     61.70% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                    14      0.00%     61.70% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     61.70% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                   96      0.00%     61.70% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     61.70% # attempts to use FU when none available
