
---------- Begin Simulation Statistics ----------
final_tick                                80474423500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  54855                       # Simulator instruction rate (inst/s)
host_mem_usage                                 871864                       # Number of bytes of host memory used
host_op_rate                                   104340                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1822.98                       # Real time elapsed on the host
host_tick_rate                               44144481                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     190209485                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.080474                       # Number of seconds simulated
sim_ticks                                 80474423500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 110672454                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 67662159                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     190209485                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.609488                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.609488                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5191403                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3699647                       # number of floating regfile writes
system.cpu.idleCycles                        13323094                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1526496                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 23318682                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.427794                       # Inst execution rate
system.cpu.iew.exec_refs                     52244209                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   20466155                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 7906322                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              33502929                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              14908                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             89499                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             21973114                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           243348899                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              31778054                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           2101403                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             229801724                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  66813                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4410495                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1413332                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               4497040                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          42726                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1192083                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         334413                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 249337085                       # num instructions consuming a value
system.cpu.iew.wb_count                     227112224                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.641797                       # average fanout of values written-back
system.cpu.iew.wb_producers                 160023735                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.411083                       # insts written-back per cycle
system.cpu.iew.wb_sent                      229004401                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                333132666                       # number of integer regfile reads
system.cpu.int_regfile_writes               177478571                       # number of integer regfile writes
system.cpu.ipc                               0.621315                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.621315                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4447339      1.92%      1.92% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             173531088     74.83%     76.75% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               172858      0.07%     76.82% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 26859      0.01%     76.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              127766      0.06%     76.89% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     76.89% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     76.89% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     76.89% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     76.89% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     76.89% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     76.89% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     76.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                17588      0.01%     76.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     76.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               190764      0.08%     76.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   48      0.00%     76.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                87998      0.04%     77.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              371521      0.16%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               3485      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             151      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             963      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              91      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            192      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             29320818     12.64%     89.82% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            16973033      7.32%     97.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         2901267      1.25%     98.39% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        3729118      1.61%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              231903127                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 8359340                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            15917182                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      7415024                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes           13334846                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     3838878                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.016554                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 2313261     60.26%     60.26% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     60.26% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     60.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     60.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     60.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     60.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     60.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     60.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     60.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     60.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     60.26% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                     12      0.00%     60.26% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     60.26% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                   8110      0.21%     60.47% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     60.47% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    594      0.02%     60.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   488      0.01%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                    14      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                   74      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     60.50% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                 245888      6.41%     66.91% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                470391     12.25%     79.16% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead            670678     17.47%     96.63% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite           129368      3.37%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses              222935326                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads          599559641                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses    219697200                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes         283194788                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                  243274396                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                 231903127                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded               74503                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined        53139394                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued            205937                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved          47559                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined     49145360                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples     147625754                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         1.570885                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        2.210717                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0            82411942     55.82%     55.82% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1            12421525      8.41%     64.24% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2            11565370      7.83%     72.07% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3            10584674      7.17%     79.24% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4             9878154      6.69%     85.93% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::5             7771366      5.26%     91.20% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::6             6841141      4.63%     95.83% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::7             4032108      2.73%     98.56% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::8             2119474      1.44%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::overflows            0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::min_value            0                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::max_value            8                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::total       147625754                       # Number of insts issued each cycle
system.cpu.iq.rate                           1.440850                       # Inst issue rate
system.cpu.iq.vec_alu_accesses                      0                       # Number of vector alu accesses
system.cpu.iq.vec_inst_queue_reads                  0                       # Number of vector instruction queue reads
system.cpu.iq.vec_inst_queue_wakeup_accesses            0                       # Number of vector instruction queue wakeup accesses
system.cpu.iq.vec_inst_queue_writes                 0                       # Number of vector instruction queue writes
system.cpu.memDep0.conflictingLoads           1945097                       # Number of conflicting loads.
system.cpu.memDep0.conflictingStores          2546898                       # Number of conflicting stores.
system.cpu.memDep0.insertedLoads             33502929                       # Number of loads inserted to the mem dependence unit.
system.cpu.memDep0.insertedStores            21973114                       # Number of stores inserted to the mem dependence unit.
system.cpu.misc_regfile_reads               104592033                       # number of misc regfile reads
system.cpu.misc_regfile_writes                     54                       # number of misc regfile writes
system.cpu.numCycles                        160948848                       # number of cpu cycles simulated
system.cpu.numWorkItemsCompleted                    0                       # number of work items this cpu completed
system.cpu.numWorkItemsStarted                      0                       # number of work items this cpu started
system.cpu.timesIdled                         1435904                       # Number of times that the entire CPU went into an idle state and unscheduled itself
system.cpu.workload.numSyscalls                   474                       # Number of system calls
system.membus.snoop_filter.hit_multi_requests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_single_requests       240108                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.tot_requests        488407                       # Total number of requests made to the snoop filter.
system.membus.snoop_filter.tot_snoops               0                       # Total number of snoops made to the snoop filter.
system.tol2bus.snoop_filter.hit_multi_requests         9955                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_multi_snoops            1                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_single_requests      4087200                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.hit_single_snoops         1992                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.tot_requests      8178446                       # Total number of requests made to the snoop filter.
system.tol2bus.snoop_filter.tot_snoops           1993                       # Total number of snoops made to the snoop filter.
system.clk_domain.clock                           250                       # Clock period in ticks
system.cpu.branchPred.lookups                28318679                       # Number of BP lookups
system.cpu.branchPred.condPredicted          21387370                       # Number of conditional branches predicted
system.cpu.branchPred.condIncorrect           1633602                       # Number of conditional branches incorrect
