
---------- Begin Simulation Statistics ----------
final_tick                                75619558000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  54129                       # Simulator instruction rate (inst/s)
host_mem_usage                                 968036                       # Number of bytes of host memory used
host_op_rate                                   108908                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1847.44                       # Real time elapsed on the host
host_tick_rate                               40932119                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     201200649                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.075620                       # Number of seconds simulated
sim_ticks                                 75619558000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  97139454                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 56603184                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     201200649                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.512391                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.512391                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   3192962                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1593626                       # number of floating regfile writes
system.cpu.idleCycles                         9053763                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1214536                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 22449875                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.470933                       # Inst execution rate
system.cpu.iew.exec_refs                     49226286                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   18163349                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 4726834                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              32289769                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               3892                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             52422                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             18967597                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           231855684                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              31062937                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1527298                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             222462674                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  41545                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1932232                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1084736                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1985962                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          25826                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       890544                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         323992                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 242273677                       # num instructions consuming a value
system.cpu.iew.wb_count                     221465660                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.636084                       # average fanout of values written-back
system.cpu.iew.wb_producers                 154106387                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.464341                       # insts written-back per cycle
system.cpu.iew.wb_sent                      221866300                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                344508974                       # number of integer regfile reads
system.cpu.int_regfile_writes               177443757                       # number of integer regfile writes
system.cpu.ipc                               0.661205                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.661205                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           2954332      1.32%      1.32% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             169859472     75.83%     77.15% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               280613      0.13%     77.28% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                150593      0.07%     77.34% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              117223      0.05%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  2      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                22871      0.01%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               387979      0.17%     77.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   66      0.00%     77.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               119069      0.05%     77.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              366023      0.16%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               9662      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             109      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             54      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     77.80% # Type of FU issued
