
---------- Begin Simulation Statistics ----------
final_tick                                78445344000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  61813                       # Simulator instruction rate (inst/s)
host_mem_usage                                 966760                       # Number of bytes of host memory used
host_op_rate                                   124369                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1617.77                       # Real time elapsed on the host
host_tick_rate                               48489741                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     201200649                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.078445                       # Number of seconds simulated
sim_ticks                                 78445344000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  99548426                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 58195019                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     201200649                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.568907                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.568907                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   3266136                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1624782                       # number of floating regfile writes
system.cpu.idleCycles                         9554914                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1765477                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 23110423                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.470155                       # Inst execution rate
system.cpu.iew.exec_refs                     50954024                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   18779644                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 6044014                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              33981332                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               3478                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             94937                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             19911099                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           243763898                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              32174380                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           2269855                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             230653660                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  42594                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1903146                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1561341                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1957726                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          28359                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1322436                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         443041                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 249994363                       # num instructions consuming a value
system.cpu.iew.wb_count                     229299346                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.637377                       # average fanout of values written-back
system.cpu.iew.wb_producers                 159340772                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.461523                       # insts written-back per cycle
system.cpu.iew.wb_sent                      229845448                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                355322658                       # number of integer regfile reads
system.cpu.int_regfile_writes               183903219                       # number of integer regfile writes
system.cpu.ipc                               0.637386                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.637386                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           3180326      1.37%      1.37% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             176558248     75.80%     77.17% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               283083      0.12%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                152155      0.07%     77.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              120706      0.05%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  1      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                23610      0.01%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               395945      0.17%     77.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   70      0.00%     77.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               123101      0.05%     77.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              370641      0.16%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              11714      0.01%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             111      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             53      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.80% # Type of FU issued
