
---------- Begin Simulation Statistics ----------
final_tick                                88016403500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  55439                       # Simulator instruction rate (inst/s)
host_mem_usage                                 968808                       # Number of bytes of host memory used
host_op_rate                                   111543                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1803.79                       # Real time elapsed on the host
host_tick_rate                               48795273                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     201200649                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.088016                       # Number of seconds simulated
sim_ticks                                 88016403500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 105546317                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 62378321                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     201200649                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.760328                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.760328                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   3495109                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1758636                       # number of floating regfile writes
system.cpu.idleCycles                        10880869                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              3515701                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 24953582                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.450193                       # Inst execution rate
system.cpu.iew.exec_refs                     56144383                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   20419898                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                10303107                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              39350572                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               4327                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            281699                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             22746337                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           281675201                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              35724485                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           4918509                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             255281598                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  40592                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1879701                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                3118881                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1932805                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          28220                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      2344784                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1170917                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 272490060                       # num instructions consuming a value
system.cpu.iew.wb_count                     252639717                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.642177                       # average fanout of values written-back
system.cpu.iew.wb_producers                 174986901                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.435185                       # insts written-back per cycle
system.cpu.iew.wb_sent                      253705783                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                387391809                       # number of integer regfile reads
system.cpu.int_regfile_writes               203505811                       # number of integer regfile writes
system.cpu.ipc                               0.568076                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.568076                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           3954455      1.52%      1.52% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             196918212     75.68%     77.20% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               284046      0.11%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                161166      0.06%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              126772      0.05%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                24623      0.01%     77.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               424521      0.16%     77.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   66      0.00%     77.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               135006      0.05%     77.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              384173      0.15%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              14855      0.01%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               9      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             111      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             54      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.80% # Type of FU issued
