
---------- Begin Simulation Statistics ----------
final_tick                                87344238500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  55093                       # Simulator instruction rate (inst/s)
host_mem_usage                                 970856                       # Number of bytes of host memory used
host_op_rate                                   110847                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1815.12                       # Real time elapsed on the host
host_tick_rate                               48120320                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     201200649                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.087344                       # Number of seconds simulated
sim_ticks                                 87344238500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 106385393                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 62893095                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     201200649                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.746885                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.746885                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   3433615                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1695546                       # number of floating regfile writes
system.cpu.idleCycles                        11069077                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              3460953                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 25080941                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.467591                       # Inst execution rate
system.cpu.iew.exec_refs                     56188725                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   20483722                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                10467803                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              39454919                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               4027                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            196580                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             22765338                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           282764683                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              35705003                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           4840761                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             256371220                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  43907                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1952790                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                3008967                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2009058                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          31335                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      2701269                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         759684                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 274808726                       # num instructions consuming a value
system.cpu.iew.wb_count                     253783904                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.641205                       # average fanout of values written-back
system.cpu.iew.wb_producers                 176208781                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.452780                       # insts written-back per cycle
system.cpu.iew.wb_sent                      254827417                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                388036686                       # number of integer regfile reads
system.cpu.int_regfile_writes               204457158                       # number of integer regfile writes
system.cpu.ipc                               0.572448                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.572448                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           3931412      1.51%      1.51% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             197961561     75.79%     77.29% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               284941      0.11%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                153817      0.06%     77.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              127128      0.05%     77.51% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.51% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.51% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  1      0.00%     77.51% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.51% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.51% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.51% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                24816      0.01%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               409455      0.16%     77.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   78      0.00%     77.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               127638      0.05%     77.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              377066      0.14%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              14698      0.01%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd              14      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               6      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             111      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             54      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.87% # Type of FU issued
