
---------- Begin Simulation Statistics ----------
final_tick                                82849587000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  48950                       # Simulator instruction rate (inst/s)
host_mem_usage                                 969832                       # Number of bytes of host memory used
host_op_rate                                    98487                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2042.91                       # Real time elapsed on the host
host_tick_rate                               40554615                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     201200649                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.082850                       # Number of seconds simulated
sim_ticks                                 82849587000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 102495323                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 60247190                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     201200649                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.656992                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.656992                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   3374587                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1702020                       # number of floating regfile writes
system.cpu.idleCycles                        10265233                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              2650653                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 23991721                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.462363                       # Inst execution rate
system.cpu.iew.exec_refs                     53454158                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   19573048                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 8144257                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              36579289                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               4519                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            227827                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             21297303                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           261792610                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              33881110                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           3539176                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             242312424                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  44964                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1974438                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                2350877                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2032801                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          28258                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1799671                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         850982                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 261031592                       # num instructions consuming a value
system.cpu.iew.wb_count                     240322374                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.639314                       # average fanout of values written-back
system.cpu.iew.wb_producers                 166881113                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.450353                       # insts written-back per cycle
system.cpu.iew.wb_sent                      241123863                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                370527421                       # number of integer regfile reads
system.cpu.int_regfile_writes               193168575                       # number of integer regfile writes
system.cpu.ipc                               0.603503                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.603503                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           3501992      1.42%      1.42% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             186212944     75.74%     77.17% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               283885      0.12%     77.28% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                157993      0.06%     77.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              122550      0.05%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  2      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                24580      0.01%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               401647      0.16%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   68      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               131820      0.05%     77.62% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              378388      0.15%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              12838      0.01%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             111      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             54      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.78% # Type of FU issued
