
---------- Begin Simulation Statistics ----------
final_tick                                78386910000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  55417                       # Simulator instruction rate (inst/s)
host_mem_usage                                 967780                       # Number of bytes of host memory used
host_op_rate                                   111499                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1804.50                       # Real time elapsed on the host
host_tick_rate                               43439654                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     201200649                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.078387                       # Number of seconds simulated
sim_ticks                                 78386910000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  99560521                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 58165916                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     201200649                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.567738                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.567738                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   3270400                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1631922                       # number of floating regfile writes
system.cpu.idleCycles                         9488686                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1823368                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 23141359                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.472214                       # Inst execution rate
system.cpu.iew.exec_refs                     50958523                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   18754082                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 6213662                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              34018535                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               4558                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            127042                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             19929001                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           244342646                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              32204441                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           2375528                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             230804663                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  44639                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1963608                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1626274                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2021512                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          26926                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1273587                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         549781                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 250231508                       # num instructions consuming a value
system.cpu.iew.wb_count                     229424843                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.637507                       # average fanout of values written-back
system.cpu.iew.wb_producers                 159524275                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.463413                       # insts written-back per cycle
system.cpu.iew.wb_sent                      229979047                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                355364594                       # number of integer regfile reads
system.cpu.int_regfile_writes               184052488                       # number of integer regfile writes
system.cpu.ipc                               0.637862                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.637862                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           3171718      1.36%      1.36% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             176803162     75.82%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               281764      0.12%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                154269      0.07%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              120277      0.05%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                23048      0.01%     77.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               394569      0.17%     77.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   74      0.00%     77.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               123630      0.05%     77.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              370758      0.16%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              11144      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               6      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             110      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             53      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.82% # Type of FU issued
