
---------- Begin Simulation Statistics ----------
final_tick                                83565814000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  52329                       # Simulator instruction rate (inst/s)
host_mem_usage                                 971880                       # Number of bytes of host memory used
host_op_rate                                   105286                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1911.00                       # Real time elapsed on the host
host_tick_rate                               43728871                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     201200649                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.083566                       # Number of seconds simulated
sim_ticks                                 83565814000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 103409715                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 60750234                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     201200649                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.671316                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.671316                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   3391613                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1679478                       # number of floating regfile writes
system.cpu.idleCycles                        10432953                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              2740838                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 24242719                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.467372                       # Inst execution rate
system.cpu.iew.exec_refs                     54012467                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   19796815                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 8486520                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              37081883                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               3698                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            155864                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             21615762                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           265713378                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              34215652                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           3791743                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             245244213                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  43116                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1824020                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                2390082                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1878862                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          30602                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      2132757                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         608081                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 264026151                       # num instructions consuming a value
system.cpu.iew.wb_count                     243181117                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.639317                       # average fanout of values written-back
system.cpu.iew.wb_producers                 168796370                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.455028                       # insts written-back per cycle
system.cpu.iew.wb_sent                      244012473                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                374080222                       # number of integer regfile reads
system.cpu.int_regfile_writes               195481660                       # number of integer regfile writes
system.cpu.ipc                               0.598331                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.598331                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           3603241      1.45%      1.45% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             188657817     75.76%     77.20% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               282831      0.11%     77.32% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                152446      0.06%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              125099      0.05%     77.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  1      0.00%     77.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                24248      0.01%     77.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               400277      0.16%     77.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   66      0.00%     77.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               127242      0.05%     77.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              376615      0.15%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              13924      0.01%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               9      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               6      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             109      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             52      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.81% # Type of FU issued
