
---------- Begin Simulation Statistics ----------
final_tick                                85369399000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  48943                       # Simulator instruction rate (inst/s)
host_mem_usage                                 969060                       # Number of bytes of host memory used
host_op_rate                                    98475                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2043.17                       # Real time elapsed on the host
host_tick_rate                               41782720                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     201200649                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.085369                       # Number of seconds simulated
sim_ticks                                 85369399000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 104236808                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 61363948                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     201200649                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.707388                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.707388                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   3412269                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1706502                       # number of floating regfile writes
system.cpu.idleCycles                        10491986                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              3030297                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 24534016                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.460797                       # Inst execution rate
system.cpu.iew.exec_refs                     54940563                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   20025303                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 9227028                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              38107285                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               3567                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            217563                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             22000149                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           272068395                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              34915260                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           4169506                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             249414788                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  36424                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1900714                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                2671001                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1948067                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          29986                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      2135360                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         894937                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 267323040                       # num instructions consuming a value
system.cpu.iew.wb_count                     247116320                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.641443                       # average fanout of values written-back
system.cpu.iew.wb_producers                 171472581                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.447335                       # insts written-back per cycle
system.cpu.iew.wb_sent                      248048467                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                379642393                       # number of integer regfile reads
system.cpu.int_regfile_writes               198776796                       # number of integer regfile writes
system.cpu.ipc                               0.585690                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.585690                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           3834819      1.51%      1.51% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             191891954     75.67%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               282993      0.11%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                156315      0.06%     77.36% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              124329      0.05%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                24102      0.01%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               409660      0.16%     77.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   68      0.00%     77.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               128982      0.05%     77.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              376177      0.15%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              14223      0.01%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             107      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             53      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             35069863     13.83%     91.61% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            19090739      7.53%     99.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          757539      0.30%     99.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        1422267      0.56%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              253584300                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 3528323                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             6909138                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      3153826                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            4892953                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     3269924                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.012895                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 2777978     84.96%     84.96% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     84.96% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     84.96% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     84.96% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     84.96% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     84.96% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     84.96% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     84.96% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     84.96% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     84.96% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     84.96% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      5      0.00%     84.96% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     84.96% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                  29070      0.89%     85.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     85.84% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    556      0.02%     85.86% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   952      0.03%     85.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     85.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     85.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                  344      0.01%     85.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     85.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     85.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     85.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     85.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     85.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     85.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     85.90% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     85.90% # attempts to use FU when none available
