
---------- Begin Simulation Statistics ----------
final_tick                                83613970000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  50781                       # Simulator instruction rate (inst/s)
host_mem_usage                                 970084                       # Number of bytes of host memory used
host_op_rate                                   102171                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1969.24                       # Real time elapsed on the host
host_tick_rate                               42459918                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     201200649                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.083614                       # Number of seconds simulated
sim_ticks                                 83613970000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 102648122                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 60378905                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     201200649                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.672279                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.672279                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   3381829                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1706460                       # number of floating regfile writes
system.cpu.idleCycles                        10013366                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              2650417                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 23975564                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.450982                       # Inst execution rate
system.cpu.iew.exec_refs                     53360693                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   19400250                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 8160560                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              36834398                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               3789                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            228084                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             21133197                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           263026324                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              33960443                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           3622540                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             242644663                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  40694                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1917879                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                2353947                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1969035                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          26577                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1662194                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         988223                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 261004295                       # num instructions consuming a value
system.cpu.iew.wb_count                     240621099                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.641268                       # average fanout of values written-back
system.cpu.iew.wb_producers                 167373625                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.438881                       # insts written-back per cycle
system.cpu.iew.wb_sent                      241441219                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                370373642                       # number of integer regfile reads
system.cpu.int_regfile_writes               193622334                       # number of integer regfile writes
system.cpu.ipc                               0.597986                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.597986                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           3554357      1.44%      1.44% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             186609876     75.78%     77.22% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               282036      0.11%     77.33% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                158949      0.06%     77.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              125909      0.05%     77.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     77.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                25048      0.01%     77.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               412412      0.17%     77.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   76      0.00%     77.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               133506      0.05%     77.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              378430      0.15%     77.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              14106      0.01%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               4      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             107      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             54      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.84% # Type of FU issued
