
---------- Begin Simulation Statistics ----------
final_tick                                76827209000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  59185                       # Simulator instruction rate (inst/s)
host_mem_usage                                 969828                       # Number of bytes of host memory used
host_op_rate                                   119081                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1689.61                       # Real time elapsed on the host
host_tick_rate                               45470509                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     201200649                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.076827                       # Number of seconds simulated
sim_ticks                                 76827209000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  98311442                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 57334719                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     201200649                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.536544                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.536544                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   3245790                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1613277                       # number of floating regfile writes
system.cpu.idleCycles                         9204647                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1457099                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 22790558                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.472434                       # Inst execution rate
system.cpu.iew.exec_refs                     50083783                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   18508995                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 5273910                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              33067387                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               3549                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             73195                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             19468662                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           237117357                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              31574788                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1863090                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             226245998                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  42411                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1904637                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1292319                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1959791                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          27504                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1090859                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         366240                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 245619420                       # num instructions consuming a value
system.cpu.iew.wb_count                     225093665                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.636914                       # average fanout of values written-back
system.cpu.iew.wb_producers                 156438333                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.464935                       # insts written-back per cycle
system.cpu.iew.wb_sent                      225562791                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                349664415                       # number of integer regfile reads
system.cpu.int_regfile_writes               180346612                       # number of integer regfile writes
system.cpu.ipc                               0.650811                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.650811                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           3045964      1.34%      1.34% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             172899058     75.80%     77.13% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               282262      0.12%     77.26% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                151071      0.07%     77.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              119166      0.05%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                23476      0.01%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               392146      0.17%     77.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   66      0.00%     77.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               121948      0.05%     77.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              369007      0.16%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              11521      0.01%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               6      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             109      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             53      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.78% # Type of FU issued
