
---------- Begin Simulation Statistics ----------
final_tick                                80071376500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  51781                       # Simulator instruction rate (inst/s)
host_mem_usage                                 973160                       # Number of bytes of host memory used
host_op_rate                                   104183                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1931.22                       # Real time elapsed on the host
host_tick_rate                               41461643                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     201200649                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.080071                       # Number of seconds simulated
sim_ticks                                 80071376500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 100311086                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 58837081                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     201200649                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.601428                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.601428                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   3281238                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1639341                       # number of floating regfile writes
system.cpu.idleCycles                         9612470                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              2056021                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 23394801                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.466922                       # Inst execution rate
system.cpu.iew.exec_refs                     51931517                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   19073531                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 6782138                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              35017760                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               3487                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            136100                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             20420428                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           250426337                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              32857986                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           2724979                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             234916944                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  40703                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1923599                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1814533                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1975449                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          28983                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1461315                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         594706                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 253521254                       # num instructions consuming a value
system.cpu.iew.wb_count                     233304263                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.639193                       # average fanout of values written-back
system.cpu.iew.wb_producers                 162049116                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.456852                       # insts written-back per cycle
system.cpu.iew.wb_sent                      233964874                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                360868980                       # number of integer regfile reads
system.cpu.int_regfile_writes               187284373                       # number of integer regfile writes
system.cpu.ipc                               0.624443                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.624443                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           3349241      1.41%      1.41% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             179976946     75.73%     77.14% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               283220      0.12%     77.26% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                153237      0.06%     77.33% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              119231      0.05%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  2      0.00%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                23226      0.01%     77.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               396496      0.17%     77.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   68      0.00%     77.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               122613      0.05%     77.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              369388      0.16%     77.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              11723      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               9      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               4      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             112      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             55      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.77% # Type of FU issued
