
---------- Begin Simulation Statistics ----------
final_tick                                76499224000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  53396                       # Simulator instruction rate (inst/s)
host_mem_usage                                 968804                       # Number of bytes of host memory used
host_op_rate                                   107433                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1872.80                       # Real time elapsed on the host
host_tick_rate                               40847601                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     201200649                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.076499                       # Number of seconds simulated
sim_ticks                                 76499224000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  98145478                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 57213018                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     201200649                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.529984                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.529984                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   3251058                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1618166                       # number of floating regfile writes
system.cpu.idleCycles                         9129185                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1439923                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 22726404                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.474811                       # Inst execution rate
system.cpu.iew.exec_refs                     49933835                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   18401690                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 5291621                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              33006597                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               4568                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             83171                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             19343947                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           236606713                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              31532145                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1859970                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             225643763                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  44434                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1947720                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1286384                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2005383                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          26219                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1020951                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         418972                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 245427933                       # num instructions consuming a value
system.cpu.iew.wb_count                     224500883                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.636589                       # average fanout of values written-back
system.cpu.iew.wb_producers                 156236840                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.467341                       # insts written-back per cycle
system.cpu.iew.wb_sent                      224963337                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                348744370                       # number of integer regfile reads
system.cpu.int_regfile_writes               179954610                       # number of integer regfile writes
system.cpu.ipc                               0.653601                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.653601                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           3006357      1.32%      1.32% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             172491968     75.82%     77.14% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               281244      0.12%     77.26% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                151527      0.07%     77.33% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              120004      0.05%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  2      0.00%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                23190      0.01%     77.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               394174      0.17%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   68      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               123887      0.05%     77.62% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              369228      0.16%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              10896      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               9      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               6      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             108      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             53      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.79% # Type of FU issued
