
---------- Begin Simulation Statistics ----------
final_tick                                87688745500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  46483                       # Simulator instruction rate (inst/s)
host_mem_usage                                 968800                       # Number of bytes of host memory used
host_op_rate                                    93524                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2151.32                       # Real time elapsed on the host
host_tick_rate                               40760365                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     201200649                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.087689                       # Number of seconds simulated
sim_ticks                                 87688745500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 106907651                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 63151595                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     201200649                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.753775                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.753775                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   3508081                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1748380                       # number of floating regfile writes
system.cpu.idleCycles                        10821785                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              3460802                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 25196352                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.469202                       # Inst execution rate
system.cpu.iew.exec_refs                     56478381                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   20498605                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                10684319                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              39761683                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               3937                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            225079                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             22879649                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           284891369                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              35979776                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           4947679                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             257664947                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  44292                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1951601                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                3006515                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2007096                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          30836                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      2688317                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         772485                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 276772420                       # num instructions consuming a value
system.cpu.iew.wb_count                     255009554                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.640115                       # average fanout of values written-back
system.cpu.iew.wb_producers                 177166113                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.454061                       # insts written-back per cycle
system.cpu.iew.wb_sent                      256086420                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                389987220                       # number of integer regfile reads
system.cpu.int_regfile_writes               205491093                       # number of integer regfile writes
system.cpu.ipc                               0.570199                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.570199                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4004192      1.52%      1.52% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             198923544     75.75%     77.27% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               284496      0.11%     77.38% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                161721      0.06%     77.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              130930      0.05%     77.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  1      0.00%     77.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                24840      0.01%     77.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               415728      0.16%     77.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   66      0.00%     77.66% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               129741      0.05%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              380763      0.14%     77.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              17847      0.01%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               9      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             110      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             53      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     77.86% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             36258847     13.81%     91.67% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            19570009      7.45%     99.12% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          797815      0.30%     99.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        1511819      0.58%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              262612633                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 3704819                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             7255375                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      3256241                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            5343253                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     3512294                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.013374                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 2969983     84.56%     84.56% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     84.56% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     84.56% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     84.56% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     84.56% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     84.56% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     84.56% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     84.56% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     84.56% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     84.56% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     84.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      8      0.00%     84.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     84.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                  29089      0.83%     85.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     85.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    415      0.01%     85.40% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   954      0.03%     85.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     85.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     85.43% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                  446      0.01%     85.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     85.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     85.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     85.44% # attempts to use FU when none available
