
---------- Begin Simulation Statistics ----------
final_tick                                74298296000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  55930                       # Simulator instruction rate (inst/s)
host_mem_usage                                 966756                       # Number of bytes of host memory used
host_op_rate                                   112531                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1787.95                       # Real time elapsed on the host
host_tick_rate                               41554984                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     201200649                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.074298                       # Number of seconds simulated
sim_ticks                                 74298296000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  95993847                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 55820386                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     201200649                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.485966                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.485966                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   3157677                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1581541                       # number of floating regfile writes
system.cpu.idleCycles                         8887928                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               977231                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 22182459                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.474561                       # Inst execution rate
system.cpu.iew.exec_refs                     48708903                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   18035897                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 4165588                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              31653474                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               3527                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             31827                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             18733423                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           226499931                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              30673006                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1220688                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             219114775                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  41709                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1974752                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 886755                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2029764                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          26373                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       755723                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         221508                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 238797142                       # num instructions consuming a value
system.cpu.iew.wb_count                     218243945                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.635548                       # average fanout of values written-back
system.cpu.iew.wb_producers                 151767032                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.468701                       # insts written-back per cycle
system.cpu.iew.wb_sent                      218603012                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                340622185                       # number of integer regfile reads
system.cpu.int_regfile_writes               174669743                       # number of integer regfile writes
system.cpu.ipc                               0.672963                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.672963                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           2854831      1.30%      1.30% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             166928533     75.76%     77.06% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               276889      0.13%     77.18% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                149059      0.07%     77.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              115635      0.05%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  2      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     77.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                22542      0.01%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     77.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               381963      0.17%     77.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   74      0.00%     77.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               116749      0.05%     77.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              363812      0.17%     77.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               9349      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             108      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             53      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.71% # Type of FU issued
