
---------- Begin Simulation Statistics ----------
final_tick                                41076859000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  52124                       # Simulator instruction rate (inst/s)
host_mem_usage                                 675384                       # Number of bytes of host memory used
host_op_rate                                    98190                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1918.50                       # Real time elapsed on the host
host_tick_rate                               21410977                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     188377356                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.041077                       # Number of seconds simulated
sim_ticks                                 41076859000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 119435032                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 57722833                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     188377356                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.821537                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.821537                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5499578                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3098474                       # number of floating regfile writes
system.cpu.idleCycles                           87629                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               421519                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 22056112                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.366359                       # Inst execution rate
system.cpu.iew.exec_refs                     39141117                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   15877181                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 5053547                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              23494533                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 66                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              6904                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             16119772                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           197507262                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              23263936                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            905722                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             194405174                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  48893                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3474336                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 322760                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3558862                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1154                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       356063                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          65456                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 217245678                       # num instructions consuming a value
system.cpu.iew.wb_count                     194074616                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.621269                       # average fanout of values written-back
system.cpu.iew.wb_producers                 134968049                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.362335                       # insts written-back per cycle
system.cpu.iew.wb_sent                      194206659                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                297164033                       # number of integer regfile reads
system.cpu.int_regfile_writes               154028499                       # number of integer regfile writes
system.cpu.ipc                               1.217230                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.217230                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           1745666      0.89%      0.89% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             150217483     76.91%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               750588      0.38%     78.19% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                813356      0.42%     78.61% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              476847      0.24%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  468      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               193401      0.10%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               386693      0.20%     79.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             1251577      0.64%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                314      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.79% # Type of FU issued
