
---------- Begin Simulation Statistics ----------
final_tick                                42301267500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  79027                       # Simulator instruction rate (inst/s)
host_mem_usage                                 675120                       # Number of bytes of host memory used
host_op_rate                                   148869                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1265.39                       # Real time elapsed on the host
host_tick_rate                               33429394                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     188377356                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.042301                       # Number of seconds simulated
sim_ticks                                 42301267500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 121892974                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 59102557                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     188377356                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.846025                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.846025                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5572670                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3146100                       # number of floating regfile writes
system.cpu.idleCycles                           86143                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               732134                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 22525886                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.342737                       # Inst execution rate
system.cpu.iew.exec_refs                     39594102                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   15997088                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 5311290                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              24035598                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 73                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              6765                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             16288699                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           203190742                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              23597014                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1698586                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             198201507                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  48744                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3517840                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 537456                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3602279                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1179                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       554643                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         177491                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 221816913                       # num instructions consuming a value
system.cpu.iew.wb_count                     197786757                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.620677                       # average fanout of values written-back
system.cpu.iew.wb_producers                 137676578                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.337835                       # insts written-back per cycle
system.cpu.iew.wb_sent                      197953303                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                302498725                       # number of integer regfile reads
system.cpu.int_regfile_writes               157133011                       # number of integer regfile writes
system.cpu.ipc                               1.181998                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.181998                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           1749318      0.88%      0.88% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             154077255     77.08%     77.95% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               750809      0.38%     78.33% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                812982      0.41%     78.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              478051      0.24%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  486      0.00%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               193916      0.10%     79.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     79.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               404768      0.20%     79.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             1265688      0.63%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                378      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     79.91% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             22927820     11.47%     91.38% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            14580084      7.29%     98.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         1056661      0.53%     99.20% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        1601824      0.80%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              199900098                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 5441956                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            10735080                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      5063313                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            6595372                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     3388344                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.016950                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 2823465     83.33%     83.33% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     83.33% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     83.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     83.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     83.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     83.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     83.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     83.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     83.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     83.33% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     83.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      1      0.00%     83.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     83.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                     28      0.00%     83.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      2      0.00%     83.33% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                   6629      0.20%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   117      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    1      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                 313204      9.24%     92.77% # attempts to use FU when none available
