
---------- Begin Simulation Statistics ----------
final_tick                                41257606000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  79773                       # Simulator instruction rate (inst/s)
host_mem_usage                                 675384                       # Number of bytes of host memory used
host_op_rate                                   150274                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1253.56                       # Real time elapsed on the host
host_tick_rate                               32912336                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     188377356                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.041258                       # Number of seconds simulated
sim_ticks                                 41257606000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 119738437                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 57931992                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     188377356                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.825152                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.825152                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5569553                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3154630                       # number of floating regfile writes
system.cpu.idleCycles                           87564                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               469925                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 22118361                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.366249                       # Inst execution rate
system.cpu.iew.exec_refs                     39283053                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   15906368                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 5178280                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              23640459                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 61                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              6910                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             16180287                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           198780473                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              23376685                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1035437                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             195251505                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  48846                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3479511                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 346653                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3564097                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1107                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       380096                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          89829                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 218781727                       # num instructions consuming a value
system.cpu.iew.wb_count                     194852982                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.620276                       # average fanout of values written-back
system.cpu.iew.wb_producers                 135705013                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.361419                       # insts written-back per cycle
system.cpu.iew.wb_sent                      195004818                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                298006857                       # number of integer regfile reads
system.cpu.int_regfile_writes               154675233                       # number of integer regfile writes
system.cpu.ipc                               1.211898                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.211898                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           1762303      0.90%      0.90% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             150970376     76.91%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               752849      0.38%     78.19% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                815101      0.42%     78.61% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              484660      0.25%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  472      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               193419      0.10%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               395180      0.20%     79.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             1264259      0.64%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                320      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             22524472     11.48%     91.28% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            14428061      7.35%     98.63% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         1078521      0.55%     99.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        1616896      0.82%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              196286947                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 5473090                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            10806229                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      5071989                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            6765976                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     3006403                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.015316                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 2498341     83.10%     83.10% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     83.10% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     83.10% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     83.10% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     83.10% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     83.10% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     83.10% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     83.10% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     83.10% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     83.10% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     83.10% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     83.10% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     83.10% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                     17      0.00%     83.10% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      2      0.00%     83.10% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                   6301      0.21%     83.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                    70      0.00%     83.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     83.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     83.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    0      0.00%     83.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     83.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     83.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     83.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     83.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     83.31% # attempts to use FU when none available
