
---------- Begin Simulation Statistics ----------
final_tick                                41360262500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  82573                       # Simulator instruction rate (inst/s)
host_mem_usage                                 675124                       # Number of bytes of host memory used
host_op_rate                                   155549                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1211.05                       # Real time elapsed on the host
host_tick_rate                               34152346                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     188377356                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.041360                       # Number of seconds simulated
sim_ticks                                 41360262500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 119960180                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 58059513                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     188377356                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.827205                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.827205                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5463639                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3073047                       # number of floating regfile writes
system.cpu.idleCycles                           87344                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               483922                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 22157281                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.365900                       # Inst execution rate
system.cpu.iew.exec_refs                     39368828                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   15907398                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 5028370                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              23739629                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 61                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              6729                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             16152388                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           199779664                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              23461430                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1021280                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             195708505                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  49389                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3451528                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 387194                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3535820                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1172                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       358430                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         125492                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 218728239                       # num instructions consuming a value
system.cpu.iew.wb_count                     195280997                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.621439                       # average fanout of values written-back
system.cpu.iew.wb_producers                 135926294                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.360732                       # insts written-back per cycle
system.cpu.iew.wb_sent                      195468777                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                298683269                       # number of integer regfile reads
system.cpu.int_regfile_writes               155163299                       # number of integer regfile writes
system.cpu.ipc                               1.208890                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.208890                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           1764137      0.90%      0.90% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             151433849     76.98%     77.87% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               752141      0.38%     78.25% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                812909      0.41%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              476892      0.24%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  455      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               193726      0.10%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               376260      0.19%     79.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             1246134      0.63%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                296      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             22670774     11.52%     91.36% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            14416061      7.33%     98.69% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          985530      0.50%     99.19% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        1600568      0.81%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              196729790                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 5326010                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            10492876                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      4982387                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            6358126                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     2926528                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.014876                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 2444480     83.53%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                     20      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      2      0.00%     83.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                  11391      0.39%     83.92% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                  1818      0.06%     83.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     83.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     83.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    1      0.00%     83.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     83.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     83.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     83.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     83.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     83.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     83.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     83.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     83.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     83.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     83.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     83.98% # attempts to use FU when none available
