
---------- Begin Simulation Statistics ----------
final_tick                                41102226000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  77672                       # Simulator instruction rate (inst/s)
host_mem_usage                                 675384                       # Number of bytes of host memory used
host_op_rate                                   146316                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1287.47                       # Real time elapsed on the host
host_tick_rate                               31924755                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     188377356                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.041102                       # Number of seconds simulated
sim_ticks                                 41102226000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 119409288                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 57764410                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     188377356                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.822045                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.822045                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5482320                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3100153                       # number of floating regfile writes
system.cpu.idleCycles                           88181                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               437196                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 22054552                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.366086                       # Inst execution rate
system.cpu.iew.exec_refs                     39143882                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   15882279                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 5101510                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              23492004                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 58                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              6730                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             16128026                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           197870630                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              23261603                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            902141                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             194502791                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  49093                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3444792                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 337560                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3529472                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1119                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       345773                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          91423                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 217337046                       # num instructions consuming a value
system.cpu.iew.wb_count                     194171839                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.621301                       # average fanout of values written-back
system.cpu.iew.wb_producers                 135031714                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.362060                       # insts written-back per cycle
system.cpu.iew.wb_sent                      194303703                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                297255730                       # number of integer regfile reads
system.cpu.int_regfile_writes               154119531                       # number of integer regfile writes
system.cpu.ipc                               1.216479                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.216479                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           1747681      0.89%      0.89% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             150325187     76.93%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               750666      0.38%     78.21% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                813098      0.42%     78.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              477498      0.24%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  461      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               193487      0.10%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               385443      0.20%     79.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             1234425      0.63%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                266      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.80% # Type of FU issued
