
---------- Begin Simulation Statistics ----------
final_tick                                51351366000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  71959                       # Simulator instruction rate (inst/s)
host_mem_usage                                 718500                       # Number of bytes of host memory used
host_op_rate                                   119466                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1389.68                       # Real time elapsed on the host
host_tick_rate                               36952018                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     166019455                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.051351                       # Number of seconds simulated
sim_ticks                                 51351366000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  33774608                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 73524491                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     166019455                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.027027                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.027027                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  47836510                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 29608933                       # number of floating regfile writes
system.cpu.idleCycles                          194689                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                37452                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  5902616                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.897490                       # Inst execution rate
system.cpu.iew.exec_refs                     54956377                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   16875589                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                18651143                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              38249273                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                261                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1270                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             17536525                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           196521052                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              38080788                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            124817                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             194877359                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  49464                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3134970                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 314698                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3160091                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            526                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         9743                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          27709                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 257580598                       # num instructions consuming a value
system.cpu.iew.wb_count                     191378250                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.570853                       # average fanout of values written-back
system.cpu.iew.wb_producers                 147040568                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.863419                       # insts written-back per cycle
system.cpu.iew.wb_sent                      194655914                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                321274294                       # number of integer regfile reads
system.cpu.int_regfile_writes               144620443                       # number of integer regfile writes
system.cpu.ipc                               0.973684                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.973684                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4178094      2.14%      2.14% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             111690817     57.28%     59.42% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              6314201      3.24%     62.66% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                101185      0.05%     62.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1448546      0.74%     63.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     63.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     63.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     63.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     63.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     63.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     63.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     63.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3147      0.00%     63.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu              2861855      1.47%     64.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   72      0.00%     64.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7769      0.00%     64.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             2869686      1.47%     66.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                 248      0.00%     66.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     66.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1957      0.00%     66.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     66.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     66.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     66.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         4781088      2.45%     68.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     68.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     68.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt         2386441      1.22%     70.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              16      0.00%     70.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     70.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        3347066      1.72%     71.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     71.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     71.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     71.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     71.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     71.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     71.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     71.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     71.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     71.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     71.79% # Type of FU issued
