
---------- Begin Simulation Statistics ----------
final_tick                                51563722500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  65881                       # Simulator instruction rate (inst/s)
host_mem_usage                                 717476                       # Number of bytes of host memory used
host_op_rate                                   109375                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1517.89                       # Real time elapsed on the host
host_tick_rate                               33970730                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     166019455                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.051564                       # Number of seconds simulated
sim_ticks                                 51563722500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  33788590                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 73520466                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     166019455                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.031274                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.031274                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  47836226                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 29608288                       # number of floating regfile writes
system.cpu.idleCycles                          196062                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                17117                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  5906650                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.888801                       # Inst execution rate
system.cpu.iew.exec_refs                     54888191                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   16873166                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                18886845                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              38032186                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                259                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1160                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             17505060                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           195877186                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              38015025                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            123598                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             194787176                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  54505                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3125814                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 294610                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3155080                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            573                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        10168                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           6949                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 257296344                       # num instructions consuming a value
system.cpu.iew.wb_count                     191324267                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.570790                       # average fanout of values written-back
system.cpu.iew.wb_producers                 146862258                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.855222                       # insts written-back per cycle
system.cpu.iew.wb_sent                      194583228                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                321056840                       # number of integer regfile reads
system.cpu.int_regfile_writes               144545581                       # number of integer regfile writes
system.cpu.ipc                               0.969674                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.969674                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4176126      2.14%      2.14% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             111671619     57.29%     59.44% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              6313259      3.24%     62.68% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                100739      0.05%     62.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1448518      0.74%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3129      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu              2862092      1.47%     64.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   72      0.00%     64.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7699      0.00%     64.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             2869705      1.47%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                 248      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2063      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         4781106      2.45%     68.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     68.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     68.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt         2386456      1.22%     70.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              16      0.00%     70.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     70.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        3347073      1.72%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     71.81% # Type of FU issued
