
---------- Begin Simulation Statistics ----------
final_tick                                51566331000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  79111                       # Simulator instruction rate (inst/s)
host_mem_usage                                 717480                       # Number of bytes of host memory used
host_op_rate                                   131340                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1264.05                       # Real time elapsed on the host
host_tick_rate                               40794690                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     166019455                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.051566                       # Number of seconds simulated
sim_ticks                                 51566331000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  33785918                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 73519076                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     166019455                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.031327                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.031327                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  47835093                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 29607401                       # number of floating regfile writes
system.cpu.idleCycles                          195232                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                17004                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  5905672                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.888665                       # Inst execution rate
system.cpu.iew.exec_refs                     54889860                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   16872773                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                18949348                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              38032301                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                257                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1274                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             17506035                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           195870680                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              38017087                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            123392                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             194783083                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  52165                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3138618                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 294487                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3165565                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            562                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         9589                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           7415                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 257328826                       # num instructions consuming a value
system.cpu.iew.wb_count                     191317009                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.570723                       # average fanout of values written-back
system.cpu.iew.wb_producers                 146863426                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.855057                       # insts written-back per cycle
system.cpu.iew.wb_sent                      194576647                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                321056689                       # number of integer regfile reads
system.cpu.int_regfile_writes               144542219                       # number of integer regfile writes
system.cpu.ipc                               0.969625                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.969625                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4175934      2.14%      2.14% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             111665953     57.29%     59.43% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              6313253      3.24%     62.67% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                101049      0.05%     62.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1448449      0.74%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3104      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu              2861918      1.47%     64.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   72      0.00%     64.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7548      0.00%     64.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             2869659      1.47%     66.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                 248      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1940      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         4781103      2.45%     68.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     68.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     68.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt         2386460      1.22%     70.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              17      0.00%     70.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     70.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        3347072      1.72%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     71.81% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             26425694     13.56%     85.37% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            10638759      5.46%     90.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead        11640362      5.97%     96.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        6237852      3.20%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
