
---------- Begin Simulation Statistics ----------
final_tick                                51357022000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  82268                       # Simulator instruction rate (inst/s)
host_mem_usage                                 716200                       # Number of bytes of host memory used
host_op_rate                                   136582                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1215.53                       # Real time elapsed on the host
host_tick_rate                               42250609                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     166019455                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.051357                       # Number of seconds simulated
sim_ticks                                 51357022000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  33109880                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 73494646                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     166019455                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.027140                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.027140                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  47909063                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 29739678                       # number of floating regfile writes
system.cpu.idleCycles                          194514                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               101173                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  5740935                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.898780                       # Inst execution rate
system.cpu.iew.exec_refs                     55483985                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   17049038                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                18658951                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              38620583                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                252                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1936                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             17899753                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           197066778                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              38434947                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            243535                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             195031357                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  55157                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3864816                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 357553                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3899959                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            505                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        12144                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          89029                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 257222977                       # num instructions consuming a value
system.cpu.iew.wb_count                     191166511                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.570578                       # average fanout of values written-back
system.cpu.iew.wb_producers                 146765732                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.861153                       # insts written-back per cycle
system.cpu.iew.wb_sent                      194708046                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                322016853                       # number of integer regfile reads
system.cpu.int_regfile_writes               144439606                       # number of integer regfile writes
system.cpu.ipc                               0.973577                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.973577                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4332962      2.22%      2.22% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             111207780     56.95%     59.17% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              6326585      3.24%     62.41% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                102001      0.05%     62.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1448695      0.74%     63.20% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     63.20% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     63.20% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     63.20% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     63.20% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     63.20% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     63.20% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     63.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3167      0.00%     63.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu              2862411      1.47%     64.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   72      0.00%     64.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7923      0.00%     64.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             2869779      1.47%     66.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                 248      0.00%     66.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     66.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2430      0.00%     66.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     66.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     66.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     66.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         4781089      2.45%     68.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     68.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     68.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt         2386442      1.22%     69.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              16      0.00%     69.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     69.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        3347065      1.71%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     71.53% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             26620939     13.63%     85.16% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            10806392      5.53%     90.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead        11856786      6.07%     96.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        6312081      3.23%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              195274895                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                39743905                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            77539345                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses     37252949                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes           50720552                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     3820424                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.019564                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  575918     15.07%     15.07% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     15.07% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     15.07% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     15.07% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     15.07% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     15.07% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     15.07% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     15.07% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     15.07% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     15.07% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     15.07% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     15.07% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     15.07% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                     79      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                     34      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                    19      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                   50      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                22      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                4      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     15.08% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                 422326     11.05%     26.13% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                861096     22.54%     48.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead           1732121     45.34%     94.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite           228755      5.99%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses              155018452                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads          419379898                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses    153913562                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes         177393958                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                  197024264                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                 195274895                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded               42514                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined        31047245                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued             29501                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved          37125                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined      8373596                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples     102519531                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         1.904758                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        2.155029                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0            44011730     42.93%     42.93% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1             9702386      9.46%     52.39% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2            13135819     12.81%     65.21% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3            11400139     11.12%     76.33% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4            10117597      9.87%     86.20% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::5             6160143      6.01%     92.20% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::6             3715720      3.62%     95.83% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::7             2672945      2.61%     98.44% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::8             1603052      1.56%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::overflows            0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::min_value            0                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::max_value            8                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::total       102519531                       # Number of insts issued each cycle
system.cpu.iq.rate                           1.901151                       # Inst issue rate
system.cpu.iq.vec_alu_accesses                      0                       # Number of vector alu accesses
system.cpu.iq.vec_inst_queue_reads                  0                       # Number of vector instruction queue reads
system.cpu.iq.vec_inst_queue_wakeup_accesses            0                       # Number of vector instruction queue wakeup accesses
system.cpu.iq.vec_inst_queue_writes                 0                       # Number of vector instruction queue writes
system.cpu.memDep0.conflictingLoads           1962924                       # Number of conflicting loads.
system.cpu.memDep0.conflictingStores          1404297                       # Number of conflicting stores.
system.cpu.memDep0.insertedLoads             38620583                       # Number of loads inserted to the mem dependence unit.
system.cpu.memDep0.insertedStores            17899753                       # Number of stores inserted to the mem dependence unit.
system.cpu.misc_regfile_reads                70725364                       # number of misc regfile reads
system.cpu.misc_regfile_writes                     18                       # number of misc regfile writes
system.cpu.numCycles                        102714045                       # number of cpu cycles simulated
system.cpu.numWorkItemsCompleted                    0                       # number of work items this cpu completed
system.cpu.numWorkItemsStarted                      0                       # number of work items this cpu started
system.cpu.timesIdled                            2176                       # Number of times that the entire CPU went into an idle state and unscheduled itself
system.cpu.workload.numSyscalls                   121                       # Number of system calls
system.membus.snoop_filter.hit_multi_requests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_single_requests       379080                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.tot_requests        766868                       # Total number of requests made to the snoop filter.
system.membus.snoop_filter.tot_snoops               0                       # Total number of snoops made to the snoop filter.
system.tol2bus.snoop_filter.hit_multi_requests           15                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_single_requests       426268                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.hit_single_snoops         1263                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.tot_requests       853563                       # Total number of requests made to the snoop filter.
system.tol2bus.snoop_filter.tot_snoops           1263                       # Total number of snoops made to the snoop filter.
system.clk_domain.clock                           250                       # Clock period in ticks
system.cpu.branchPred.lookups                 6291696                       # Number of BP lookups
system.cpu.branchPred.condPredicted           4566144                       # Number of conditional branches predicted
system.cpu.branchPred.condIncorrect             78413                       # Number of conditional branches incorrect
system.cpu.branchPred.BTBLookups              3467514                       # Number of BTB lookups
system.cpu.branchPred.BTBHits                 3456660                       # Number of BTB hits
system.cpu.branchPred.BTBHitPct             99.686980                       # BTB Hit Percentage
system.cpu.branchPred.RASUsed                  572871                       # Number of times the RAS was used to get a target.
system.cpu.branchPred.RASIncorrect                 14                       # Number of incorrect RAS predictions.
system.cpu.branchPred.indirectLookups          567428                       # Number of indirect predictor lookups.
system.cpu.branchPred.indirectHits             557768                       # Number of indirect target hits.
system.cpu.branchPred.indirectMisses             9660                       # Number of indirect misses.
system.cpu.branchPred.indirectMispredicted         1458                       # Number of mispredicted indirect branches.
system.cpu.commit.commitSquashedInsts        25489921                       # The number of squashed insts skipped by commit
system.cpu.commit.commitNonSpecStalls            5389                       # The number of times commit has been forced to stall to communicate backwards
system.cpu.commit.branchMispredicts             77556                       # The number of times a branch was mispredicted
system.cpu.commit.numCommittedDist::samples     99002838                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::mean     1.676916                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::stdev     2.568117                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::0        49686839     50.19%     50.19% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::1        19780525     19.98%     70.17% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::2         8561402      8.65%     78.81% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::3         3185893      3.22%     82.03% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::4         3173240      3.21%     85.24% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::5         1825002      1.84%     87.08% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::6         1189933      1.20%     88.28% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::7         2199153      2.22%     90.50% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::8         9400851      9.50%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::total     99002838                       # Number of insts commited each cycle
system.cpu.commit.instsCommitted            100000001                       # Number of instructions committed
system.cpu.commit.opsCommitted              166019455                       # Number of ops (including micro ops) committed
system.cpu.commit.memRefs                    39264133                       # Number of memory references committed
system.cpu.commit.loads                      30740931                       # Number of loads committed
system.cpu.commit.amos                              0                       # Number of atomic instructions committed
system.cpu.commit.membars                         176                       # Number of memory barriers committed
system.cpu.commit.branches                    4827028                       # Number of branches committed
system.cpu.commit.vector                            0                       # Number of committed Vector instructions.
system.cpu.commit.floating                   26165588                       # Number of committed floating point instructions.
