
---------- Begin Simulation Statistics ----------
final_tick                                51328356000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  77306                       # Simulator instruction rate (inst/s)
host_mem_usage                                 717220                       # Number of bytes of host memory used
host_op_rate                                   128343                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1293.56                       # Real time elapsed on the host
host_tick_rate                               39680013                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     166019455                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.051328                       # Number of seconds simulated
sim_ticks                                 51328356000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  33488348                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 73563862                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     166019455                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.026567                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.026567                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  47851939                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 29623659                       # number of floating regfile writes
system.cpu.idleCycles                          191622                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                70261                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  5836287                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.899525                       # Inst execution rate
system.cpu.iew.exec_refs                     55158188                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   16928162                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                18577423                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              38409065                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                259                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2367                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             17719470                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           196955848                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              38230026                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            182573                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             194998969                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  55226                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3399341                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 338733                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3430236                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            512                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        19005                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          51256                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 257545210                       # num instructions consuming a value
system.cpu.iew.wb_count                     191342634                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.570763                       # average fanout of values written-back
system.cpu.iew.wb_producers                 146997294                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.863908                       # insts written-back per cycle
system.cpu.iew.wb_sent                      194724555                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                321719136                       # number of integer regfile reads
system.cpu.int_regfile_writes               144668343                       # number of integer regfile writes
system.cpu.ipc                               0.974120                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.974120                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4239319      2.17%      2.17% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             111564031     57.16%     59.33% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              6328108      3.24%     62.57% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                100082      0.05%     62.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1450131      0.74%     63.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     63.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     63.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     63.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     63.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     63.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     63.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     63.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3119      0.00%     63.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu              2863487      1.47%     64.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   66      0.00%     64.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7971      0.00%     64.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             2869707      1.47%     66.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                 248      0.00%     66.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     66.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2891      0.00%     66.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     66.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     66.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     66.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         4781088      2.45%     68.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     68.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     68.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt         2386455      1.22%     69.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              17      0.00%     69.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     69.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        3347069      1.71%     71.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     71.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     71.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     71.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     71.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     71.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     71.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     71.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     71.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     71.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     71.70% # Type of FU issued
