
---------- Begin Simulation Statistics ----------
final_tick                                51579145000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  74448                       # Simulator instruction rate (inst/s)
host_mem_usage                                 718240                       # Number of bytes of host memory used
host_op_rate                                   123598                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1343.23                       # Real time elapsed on the host
host_tick_rate                               38399477                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     166019455                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.051579                       # Number of seconds simulated
sim_ticks                                 51579145000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  33132551                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 73458032                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     166019455                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.031583                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.031583                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  47718963                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 29446038                       # number of floating regfile writes
system.cpu.idleCycles                          193088                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               172959                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  5761252                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.888057                       # Inst execution rate
system.cpu.iew.exec_refs                     55009220                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   16802146                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                18609663                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              38464300                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                280                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              8295                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             18269458                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           198045235                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              38207074                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            421138                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             194768696                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 106209                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3715326                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 409440                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3805956                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            612                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        95501                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          77458                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 257642066                       # num instructions consuming a value
system.cpu.iew.wb_count                     190936760                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.569708                       # average fanout of values written-back
system.cpu.iew.wb_producers                 146780707                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.850910                       # insts written-back per cycle
system.cpu.iew.wb_sent                      194384836                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                321468321                       # number of integer regfile reads
system.cpu.int_regfile_writes               144749771                       # number of integer regfile writes
system.cpu.ipc                               0.969384                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.969384                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4239286      2.17%      2.17% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             111621660     57.19%     59.36% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              6335693      3.25%     62.60% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                106963      0.05%     62.66% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1449640      0.74%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3043      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu              2863712      1.47%     64.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   72      0.00%     64.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7771      0.00%     64.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             2869774      1.47%     66.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                 248      0.00%     66.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     66.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2770      0.00%     66.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     66.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     66.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     66.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         4781111      2.45%     68.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     68.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     68.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt         2386447      1.22%     70.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              20      0.00%     70.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     70.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        3347072      1.71%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     71.73% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             26684837     13.67%     85.40% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            10759467      5.51%     90.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead        11608550      5.95%     96.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        6121669      3.14%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              195189837                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                39246724                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            76618334                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses     36761729                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes           51009148                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     3703780                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.018975                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  588476     15.89%     15.89% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     15.89% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     15.89% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     15.89% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     15.89% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     15.89% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     15.89% # attempts to use FU when none available
