
---------- Begin Simulation Statistics ----------
final_tick                                51352051500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  78314                       # Simulator instruction rate (inst/s)
host_mem_usage                                 716452                       # Number of bytes of host memory used
host_op_rate                                   130017                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1276.91                       # Real time elapsed on the host
host_tick_rate                               40215886                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     166019455                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.051352                       # Number of seconds simulated
sim_ticks                                 51352051500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  33633557                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 73485451                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     166019455                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.027041                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.027041                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  47841668                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 29605178                       # number of floating regfile writes
system.cpu.idleCycles                          195078                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                43158                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  5870051                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.896421                       # Inst execution rate
system.cpu.iew.exec_refs                     54978565                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   16892282                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                18711167                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              38214988                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                258                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1688                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             17602978                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           196351851                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              38086283                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            147996                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             194770195                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  41318                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3256615                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 318626                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3272703                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            576                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        11300                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          31858                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 257395186                       # num instructions consuming a value
system.cpu.iew.wb_count                     191212095                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.570676                       # average fanout of values written-back
system.cpu.iew.wb_producers                 146889381                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.861777                       # insts written-back per cycle
system.cpu.iew.wb_sent                      194529106                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                321160381                       # number of integer regfile reads
system.cpu.int_regfile_writes               144500516                       # number of integer regfile writes
system.cpu.ipc                               0.973671                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.973671                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4204465      2.16%      2.16% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             111546864     57.23%     59.38% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              6313369      3.24%     62.62% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                101605      0.05%     62.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1448823      0.74%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3097      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu              2862689      1.47%     64.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   66      0.00%     64.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7681      0.00%     64.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             2869749      1.47%     66.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                 248      0.00%     66.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     66.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2348      0.00%     66.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     66.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     66.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     66.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         4781141      2.45%     68.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     68.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     68.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt         2386452      1.22%     70.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              18      0.00%     70.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     70.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        3347066      1.72%     71.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     71.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     71.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     71.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     71.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     71.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     71.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     71.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     71.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     71.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     71.76% # Type of FU issued
