
---------- Begin Simulation Statistics ----------
final_tick                                51540363500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  78748                       # Simulator instruction rate (inst/s)
host_mem_usage                                 717220                       # Number of bytes of host memory used
host_op_rate                                   130736                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1269.88                       # Real time elapsed on the host
host_tick_rate                               40586742                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     166019455                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.051540                       # Number of seconds simulated
sim_ticks                                 51540363500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  33828531                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 73569284                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     166019455                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.030807                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.030807                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  47837424                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 29605006                       # number of floating regfile writes
system.cpu.idleCycles                          194824                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                23071                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  5915346                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.890765                       # Inst execution rate
system.cpu.iew.exec_refs                     54906891                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   16875155                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                18769978                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              38069611                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                255                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1934                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             17520108                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           196113245                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              38031736                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            132018                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             194901414                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  52941                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3156955                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 299261                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3184545                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            600                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        14756                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           8315                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 257444345                       # num instructions consuming a value
system.cpu.iew.wb_count                     191435924                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.570805                       # average fanout of values written-back
system.cpu.iew.wb_producers                 146950454                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.857146                       # insts written-back per cycle
system.cpu.iew.wb_sent                      194693387                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                321216659                       # number of integer regfile reads
system.cpu.int_regfile_writes               144648480                       # number of integer regfile writes
system.cpu.ipc                               0.970113                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.970113                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4177788      2.14%      2.14% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             111768630     57.31%     59.45% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              6313408      3.24%     62.69% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                101445      0.05%     62.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1448863      0.74%     63.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     63.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     63.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     63.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     63.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     63.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     63.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     63.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3095      0.00%     63.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu              2863231      1.47%     64.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   66      0.00%     64.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7766      0.00%     64.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             2869746      1.47%     66.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                 248      0.00%     66.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     66.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2436      0.00%     66.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     66.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     66.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     66.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         4781131      2.45%     68.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     68.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     68.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt         2386455      1.22%     70.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              20      0.00%     70.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     70.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        3347066      1.72%     71.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     71.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     71.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     71.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     71.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     71.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     71.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     71.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     71.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     71.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     71.82% # Type of FU issued
