
---------- Begin Simulation Statistics ----------
final_tick                                51326804500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  73037                       # Simulator instruction rate (inst/s)
host_mem_usage                                 718240                       # Number of bytes of host memory used
host_op_rate                                   121256                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1369.16                       # Real time elapsed on the host
host_tick_rate                               37487705                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     166019455                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.051327                       # Number of seconds simulated
sim_ticks                                 51326804500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  33474411                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 73568387                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     166019455                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.026536                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.026536                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  47907166                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 29808553                       # number of floating regfile writes
system.cpu.idleCycles                          194482                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                62473                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  5822618                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.900344                       # Inst execution rate
system.cpu.iew.exec_refs                     55309136                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   16991121                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                18701385                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              38400809                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                245                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1306                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             17725461                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           196393437                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              38318015                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            157972                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             195077180                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  53337                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3750145                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 318778                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3781052                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            508                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        11693                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          50780                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 257076422                       # num instructions consuming a value
system.cpu.iew.wb_count                     191392261                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.570816                       # average fanout of values written-back
system.cpu.iew.wb_producers                 146743363                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.864447                       # insts written-back per cycle
system.cpu.iew.wb_sent                      194835549                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                321756924                       # number of integer regfile reads
system.cpu.int_regfile_writes               144472001                       # number of integer regfile writes
system.cpu.ipc                               0.974150                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.974150                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           4280847      2.19%      2.19% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             111443373     57.08%     59.27% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              6313040      3.23%     62.51% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                100182      0.05%     62.56% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1448433      0.74%     63.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     63.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     63.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     63.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     63.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     63.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     63.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     63.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3181      0.00%     63.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu              2862039      1.47%     64.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   72      0.00%     64.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7778      0.00%     64.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             2869720      1.47%     66.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                 248      0.00%     66.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     66.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2175      0.00%     66.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     66.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     66.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     66.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         4781095      2.45%     68.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     68.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     68.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt         2386434      1.22%     69.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              16      0.00%     69.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     69.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        3347065      1.71%     71.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     71.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     71.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     71.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     71.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     71.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     71.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     71.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     71.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     71.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     71.63% # Type of FU issued
