
---------- Begin Simulation Statistics ----------
final_tick                                31982730500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  79504                       # Simulator instruction rate (inst/s)
host_mem_usage                                 725380                       # Number of bytes of host memory used
host_op_rate                                   123334                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1257.79                       # Real time elapsed on the host
host_tick_rate                               25427674                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     155128130                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.031983                       # Number of seconds simulated
sim_ticks                                 31982730500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  86109126                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 84365967                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     155128130                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.639655                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.639655                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   7310946                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  5631281                       # number of floating regfile writes
system.cpu.idleCycles                          131578                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               490682                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 11566603                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.646098                       # Inst execution rate
system.cpu.iew.exec_refs                     45070561                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   13536958                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 4087979                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              34805136                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                910                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2043                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             13630667                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           183412794                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              31533603                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1090634                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             169258902                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  12802                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2410450                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 437288                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2430892                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1827                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       225661                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         265021                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 227106000                       # num instructions consuming a value
system.cpu.iew.wb_count                     168306310                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.559777                       # average fanout of values written-back
system.cpu.iew.wb_producers                 127128662                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.631206                       # insts written-back per cycle
system.cpu.iew.wb_sent                      168751031                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                285496731                       # number of integer regfile reads
system.cpu.int_regfile_writes               136140705                       # number of integer regfile writes
system.cpu.ipc                               1.563344                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.563344                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           1977578      1.16%      1.16% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             117952027     69.24%     70.40% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   58      0.00%     70.40% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 43823      0.03%     70.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1677071      0.98%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1409      0.00%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9139      0.01%     71.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     71.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                64310      0.04%     71.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     71.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                20122      0.01%     71.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             3356554      1.97%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4647      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           27542      0.02%     73.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     73.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     73.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult          13840      0.01%     73.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     73.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     73.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     73.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     73.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     73.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     73.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     73.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     73.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     73.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     73.47% # Type of FU issued
