
---------- Begin Simulation Statistics ----------
final_tick                                31611461500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  69026                       # Simulator instruction rate (inst/s)
host_mem_usage                                 725380                       # Number of bytes of host memory used
host_op_rate                                   107078                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1448.74                       # Real time elapsed on the host
host_tick_rate                               21819993                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     155128130                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.031611                       # Number of seconds simulated
sim_ticks                                 31611461500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  86768858                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 84883580                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     155128130                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.632229                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.632229                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   7346980                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  5653012                       # number of floating regfile writes
system.cpu.idleCycles                          135902                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               462170                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 11832795                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.687412                       # Inst execution rate
system.cpu.iew.exec_refs                     45360680                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   13683308                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 3775987                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              33995156                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                908                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2149                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             13874006                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           181130857                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              31677372                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1121176                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             169906016                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  10727                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2293537                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 408415                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2308404                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1865                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       198339                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         263831                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 227353829                       # num instructions consuming a value
system.cpu.iew.wb_count                     168957676                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.558450                       # average fanout of values written-back
system.cpu.iew.wb_producers                 126965778                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.672412                       # insts written-back per cycle
system.cpu.iew.wb_sent                      169371798                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                288483886                       # number of integer regfile reads
system.cpu.int_regfile_writes               136245386                       # number of integer regfile writes
system.cpu.ipc                               1.581705                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.581705                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           2075011      1.21%      1.21% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             118174755     69.10%     70.31% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   52      0.00%     70.31% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 43838      0.03%     70.34% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1676941      0.98%     71.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     71.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1379      0.00%     71.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     71.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     71.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     71.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     71.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     71.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9122      0.01%     71.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     71.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                77743      0.05%     71.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     71.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                20110      0.01%     71.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             3356521      1.96%     73.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     73.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     73.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4899      0.00%     73.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     73.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     73.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     73.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     73.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     73.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     73.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           30594      0.02%     73.36% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     73.36% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     73.36% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult          15601      0.01%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     73.37% # Type of FU issued
