
---------- Begin Simulation Statistics ----------
final_tick                                31841765000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  96819                       # Simulator instruction rate (inst/s)
host_mem_usage                                 724092                       # Number of bytes of host memory used
host_op_rate                                   150193                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1032.86                       # Real time elapsed on the host
host_tick_rate                               30828828                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     155128130                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.031842                       # Number of seconds simulated
sim_ticks                                 31841765000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  86366624                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 84889083                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     155128130                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.636835                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.636835                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   7368542                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  5670792                       # number of floating regfile writes
system.cpu.idleCycles                          132098                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               542026                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 11831553                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.671579                       # Inst execution rate
system.cpu.iew.exec_refs                     45290368                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   13772497                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 3668154                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              33903858                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                940                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2524                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             13961600                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           181000330                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              31517871                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1125926                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             170135595                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  10906                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2410561                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 485865                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2426236                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1897                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       244831                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         297195                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 226252916                       # num instructions consuming a value
system.cpu.iew.wb_count                     169219822                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.558650                       # average fanout of values written-back
system.cpu.iew.wb_producers                 126396129                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.657199                       # insts written-back per cycle
system.cpu.iew.wb_sent                      169581049                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                289080711                       # number of integer regfile reads
system.cpu.int_regfile_writes               136241521                       # number of integer regfile writes
system.cpu.ipc                               1.570265                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.570265                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           2182794      1.27%      1.27% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             118271158     69.06%     70.33% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   86      0.00%     70.33% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 43525      0.03%     70.36% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1680246      0.98%     71.34% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     71.34% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1406      0.00%     71.34% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     71.34% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     71.34% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     71.34% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     71.34% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     71.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9170      0.01%     71.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     71.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                76898      0.04%     71.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     71.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                20597      0.01%     71.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             3356944      1.96%     73.36% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     73.36% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     73.36% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               6591      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     73.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           35259      0.02%     73.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     73.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     73.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult          17762      0.01%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             31660632     18.49%     91.88% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            12685479      7.41%     99.29% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead           82842      0.05%     99.34% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        1130127      0.66%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              171261522                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 7254276                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            14094231                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      6802853                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            7133798                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     2731386                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.015949                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 1042152     38.15%     38.15% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     38.15% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     38.15% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     38.15% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     38.15% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     38.15% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     38.15% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     38.15% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     38.15% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     38.15% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     38.15% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      1      0.00%     38.15% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     38.15% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                    194      0.01%     38.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     38.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                   1059      0.04%     38.20% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                412609     15.11%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                   29      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     53.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     53.31% # attempts to use FU when none available
