
---------- Begin Simulation Statistics ----------
final_tick                                32338219500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  95524                       # Simulator instruction rate (inst/s)
host_mem_usage                                 724096                       # Number of bytes of host memory used
host_op_rate                                   148184                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1046.86                       # Real time elapsed on the host
host_tick_rate                               30890729                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     155128130                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.032338                       # Number of seconds simulated
sim_ticks                                 32338219500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  87485372                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 85228644                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     155128130                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.646764                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.646764                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   7513259                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  5757025                       # number of floating regfile writes
system.cpu.idleCycles                          134489                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               554929                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 11991309                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.661360                       # Inst execution rate
system.cpu.iew.exec_refs                     45779918                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   13742472                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 4214929                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              34731737                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                943                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2634                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             13989332                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           185155062                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              32037446                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1341436                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             172127278                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  10886                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2386680                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 487087                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2401340                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1907                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       291056                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         263873                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 229118607                       # num instructions consuming a value
system.cpu.iew.wb_count                     171012629                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.561080                       # average fanout of values written-back
system.cpu.iew.wb_producers                 128553946                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.644126                       # insts written-back per cycle
system.cpu.iew.wb_sent                      171484500                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                290201155                       # number of integer regfile reads
system.cpu.int_regfile_writes               138027865                       # number of integer regfile writes
system.cpu.ipc                               1.546158                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.546158                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           2085439      1.20%      1.20% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             120066086     69.21%     70.42% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   70      0.00%     70.42% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 43944      0.03%     70.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1677325      0.97%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1419      0.00%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     71.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 8953      0.01%     71.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     71.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               130982      0.08%     71.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     71.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                19729      0.01%     71.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             3357259      1.94%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               5053      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           48502      0.03%     73.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     73.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     73.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult          24433      0.01%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     73.48% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             32088591     18.50%     91.98% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            12661202      7.30%     99.28% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          115663      0.07%     99.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        1134059      0.65%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              173468715                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 7359248                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            14303813                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      6890942                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            7480896                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     2898828                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.016711                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 1203436     41.51%     41.51% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     41.51% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     41.51% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     41.51% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     41.51% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     41.51% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     41.51% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     41.51% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     41.51% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     41.51% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     41.51% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      2      0.00%     41.51% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     41.51% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                    162      0.01%     41.52% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     41.52% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                   1042      0.04%     41.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                412395     14.23%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                   55      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     55.78% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                1271244     43.85%     99.64% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                  9062      0.31%     99.95% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead               606      0.02%     99.97% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite              824      0.03%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses              166922856                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads          400181535                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses    164121687                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes         207702917                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                  185153649                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                 173468715                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded                1413                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined        30026856                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued            107140                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved            210                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined     55135135                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples      64541951                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         2.687689                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        2.202735                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0            13129054     20.34%     20.34% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1             9786471     15.16%     35.50% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2            10649110     16.50%     52.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3            10668608     16.53%     68.53% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4             5765384      8.93%     77.47% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::5             5337846      8.27%     85.74% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::6             5696339      8.83%     94.56% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::7             1623712      2.52%     97.08% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::8             1885427      2.92%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::overflows            0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::min_value            0                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::max_value            8                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::total        64541951                       # Number of insts issued each cycle
system.cpu.iq.rate                           2.682101                       # Inst issue rate
system.cpu.iq.vec_alu_accesses                      0                       # Number of vector alu accesses
system.cpu.iq.vec_inst_queue_reads                  0                       # Number of vector instruction queue reads
system.cpu.iq.vec_inst_queue_wakeup_accesses            0                       # Number of vector instruction queue wakeup accesses
system.cpu.iq.vec_inst_queue_writes                 0                       # Number of vector instruction queue writes
system.cpu.memDep0.conflictingLoads           2943502                       # Number of conflicting loads.
system.cpu.memDep0.conflictingStores          1040190                       # Number of conflicting stores.
system.cpu.memDep0.insertedLoads             34731737                       # Number of loads inserted to the mem dependence unit.
system.cpu.memDep0.insertedStores            13989332                       # Number of stores inserted to the mem dependence unit.
system.cpu.misc_regfile_reads                71206622                       # number of misc regfile reads
system.cpu.misc_regfile_writes                    702                       # number of misc regfile writes
system.cpu.numCycles                         64676440                       # number of cpu cycles simulated
system.cpu.numWorkItemsCompleted                    0                       # number of work items this cpu completed
system.cpu.numWorkItemsStarted                      0                       # number of work items this cpu started
system.cpu.timesIdled                            1501                       # Number of times that the entire CPU went into an idle state and unscheduled itself
system.cpu.workload.numSyscalls                    85                       # Number of system calls
system.membus.snoop_filter.hit_multi_requests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_single_requests        41428                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.tot_requests         91488                       # Total number of requests made to the snoop filter.
system.membus.snoop_filter.tot_snoops               0                       # Total number of snoops made to the snoop filter.
system.tol2bus.snoop_filter.hit_multi_requests           25                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_single_requests        92870                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
