
---------- Begin Simulation Statistics ----------
final_tick                                39825868000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  78513                       # Simulator instruction rate (inst/s)
host_mem_usage                                 725116                       # Number of bytes of host memory used
host_op_rate                                   121795                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1273.68                       # Real time elapsed on the host
host_tick_rate                               31268305                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     155128130                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.039826                       # Number of seconds simulated
sim_ticks                                 39825868000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  92419503                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 87540957                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     155128130                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.796517                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.796517                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   7451958                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  5723685                       # number of floating regfile writes
system.cpu.idleCycles                          132529                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1530081                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 12880089                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.406388                       # Inst execution rate
system.cpu.iew.exec_refs                     48380916                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   13900767                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 9110400                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              42955982                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                916                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              4470                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             14280026                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           227875319                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              34480149                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           3547373                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             191672971                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  15946                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2453264                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1278464                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2477098                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1984                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       761579                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         768502                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 248083831                       # num instructions consuming a value
system.cpu.iew.wb_count                     189240432                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.582864                       # average fanout of values written-back
system.cpu.iew.wb_producers                 144599204                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.375848                       # insts written-back per cycle
system.cpu.iew.wb_sent                      190372541                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                302281183                       # number of integer regfile reads
system.cpu.int_regfile_writes               155888703                       # number of integer regfile writes
system.cpu.ipc                               1.255465                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.255465                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           2127835      1.09%      1.09% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             138973828     71.19%     72.28% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   82      0.00%     72.28% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 48434      0.02%     72.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1678313      0.86%     73.16% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     73.16% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1467      0.00%     73.16% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     73.16% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     73.16% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     73.16% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     73.16% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     73.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9075      0.00%     73.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     73.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               106069      0.05%     73.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     73.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                20355      0.01%     73.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             3357073      1.72%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               5844      0.00%     74.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     74.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     74.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     74.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     74.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     74.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     74.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           44857      0.02%     74.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     74.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     74.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult          20058      0.01%     74.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     74.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     74.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     74.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     74.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     74.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     74.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     74.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     74.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     74.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     74.99% # Type of FU issued
