
---------- Begin Simulation Statistics ----------
final_tick                                32413272500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 100558                       # Simulator instruction rate (inst/s)
host_mem_usage                                 724096                       # Number of bytes of host memory used
host_op_rate                                   155993                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   994.45                       # Real time elapsed on the host
host_tick_rate                               32594040                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000000                       # Number of instructions simulated
sim_ops                                     155128130                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.032413                       # Number of seconds simulated
sim_ticks                                 32413272500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  86523613                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 85011677                       # number of cc regfile writes
system.cpu.committedInsts                   100000000                       # Number of Instructions Simulated
system.cpu.committedOps                     155128130                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.648265                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.648265                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   7367004                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  5669898                       # number of floating regfile writes
system.cpu.idleCycles                          133787                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               586318                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 11870103                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.645061                       # Inst execution rate
system.cpu.iew.exec_refs                     45406400                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   13782998                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 4022194                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              34447160                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                941                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2517                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             13983571                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           183956599                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              31623402                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1202118                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             171470200                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  11792                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2418127                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 526989                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2435394                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1898                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       264568                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         321750                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 227365155                       # num instructions consuming a value
system.cpu.iew.wb_count                     170494342                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.560575                       # average fanout of values written-back
system.cpu.iew.wb_producers                 127455331                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.630008                       # insts written-back per cycle
system.cpu.iew.wb_sent                      170895857                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                289706744                       # number of integer regfile reads
system.cpu.int_regfile_writes               137501262                       # number of integer regfile writes
system.cpu.ipc                               1.542578                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.542578                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           2190271      1.27%      1.27% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             119552316     69.24%     70.50% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   77      0.00%     70.51% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 43589      0.03%     70.53% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1679604      0.97%     71.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     71.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1392      0.00%     71.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     71.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     71.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     71.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     71.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     71.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9156      0.01%     71.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     71.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                76680      0.04%     71.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     71.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                20486      0.01%     71.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             3356834      1.94%     73.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     73.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     73.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               6341      0.00%     73.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     73.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     73.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     73.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     73.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     73.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     73.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           35536      0.02%     73.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     73.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     73.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult          17740      0.01%     73.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     73.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     73.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     73.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     73.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     73.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     73.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     73.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     73.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     73.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     73.54% # Type of FU issued
