
---------- Begin Simulation Statistics ----------
final_tick                                 8119563000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  40364                       # Simulator instruction rate (inst/s)
host_mem_usage                                 812476                       # Number of bytes of host memory used
host_op_rate                                    76583                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   247.75                       # Real time elapsed on the host
host_tick_rate                               32773699                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      18973114                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.008120                       # Number of seconds simulated
sim_ticks                                  8119563000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11638783                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  7037721                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      18973114                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.623913                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.623913                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    479244                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   259923                       # number of floating regfile writes
system.cpu.idleCycles                         1529025                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               236409                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2432771                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.436705                       # Inst execution rate
system.cpu.iew.exec_refs                      4745695                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1751750                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  970344                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3261899                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1270                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             21265                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1947561                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            25370310                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2993945                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            348280                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              23330839                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6118                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                427857                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 202795                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                436637                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           4060                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       176099                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          60310                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  26016323                       # num instructions consuming a value
system.cpu.iew.wb_count                      23100297                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.635306                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16528330                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.422509                       # insts written-back per cycle
system.cpu.iew.wb_sent                       23215571                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 33308225                       # number of integer regfile reads
system.cpu.int_regfile_writes                18420308                       # number of integer regfile writes
system.cpu.ipc                               0.615797                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.615797                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            404652      1.71%      1.71% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              18252609     77.08%     78.79% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                14139      0.06%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                  6525      0.03%     78.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               17063      0.07%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3620      0.02%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                36516      0.15%     79.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   46      0.00%     79.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                22653      0.10%     79.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               60692      0.26%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               3128      0.01%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd              12      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt              86      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               8      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             12      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.49% # Type of FU issued
