
---------- Begin Simulation Statistics ----------
final_tick                                 8003048500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  55129                       # Simulator instruction rate (inst/s)
host_mem_usage                                 811452                       # Number of bytes of host memory used
host_op_rate                                   104597                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   181.39                       # Real time elapsed on the host
host_tick_rate                               44120217                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      18973114                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.008003                       # Number of seconds simulated
sim_ticks                                  8003048500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11547699                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  6983436                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      18973114                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.600610                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.600610                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    476401                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   260483                       # number of floating regfile writes
system.cpu.idleCycles                         1511282                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               216109                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2409067                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.439353                       # Inst execution rate
system.cpu.iew.exec_refs                      4692667                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1735265                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  915119                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3198467                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1280                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             18817                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1913347                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            24893552                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2957402                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            316819                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              23038428                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6228                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                431493                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 186662                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                440598                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           3969                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       157643                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          58466                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  25718914                       # num instructions consuming a value
system.cpu.iew.wb_count                      22821570                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.635123                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16334674                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.425805                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22931883                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 32970510                       # number of integer regfile reads
system.cpu.int_regfile_writes                18188174                       # number of integer regfile writes
system.cpu.ipc                               0.624762                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.624762                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            391325      1.68%      1.68% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              18005950     77.10%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                14114      0.06%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                  6516      0.03%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               16827      0.07%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3520      0.02%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                36004      0.15%     79.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   38      0.00%     79.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                22457      0.10%     79.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               60722      0.26%     79.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               3122      0.01%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd              14      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt              90      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               8      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             20      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              2902923     12.43%     91.90% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             1576399      6.75%     98.65% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          121834      0.52%     99.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         193268      0.83%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               23355247                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                  508860                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads              987201                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses       460647                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes             735682                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      314126                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.013450                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  246110     78.35%     78.35% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     78.35% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     78.35% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     78.35% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     78.35% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     78.35% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     78.35% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     78.35% # attempts to use FU when none available
