
---------- Begin Simulation Statistics ----------
final_tick                                 8003683500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  47033                       # Simulator instruction rate (inst/s)
host_mem_usage                                 811452                       # Number of bytes of host memory used
host_op_rate                                    89237                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   212.62                       # Real time elapsed on the host
host_tick_rate                               37643965                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      18973114                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.008004                       # Number of seconds simulated
sim_ticks                                  8003683500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11544591                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  6981090                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      18973114                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.600737                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.600737                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    476014                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   260380                       # number of floating regfile writes
system.cpu.idleCycles                         1517576                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               215756                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2407813                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.438212                       # Inst execution rate
system.cpu.iew.exec_refs                      4689240                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1733929                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  916185                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3195426                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1284                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             18872                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1911708                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            24871515                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2955311                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            316591                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              23021990                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6260                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                425767                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 186216                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                434960                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           3908                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       157518                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          58238                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  25701936                       # num instructions consuming a value
system.cpu.iew.wb_count                      22805288                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.635064                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16322379                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.424674                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22915354                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 32951652                       # number of integer regfile reads
system.cpu.int_regfile_writes                18174737                       # number of integer regfile writes
system.cpu.ipc                               0.624712                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.624712                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            390849      1.67%      1.67% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17993433     77.10%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                14126      0.06%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                  6516      0.03%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               16840      0.07%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3522      0.02%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                35872      0.15%     79.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   38      0.00%     79.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                22439      0.10%     79.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               60665      0.26%     79.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               3122      0.01%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd              15      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt              93      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               8      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             18      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.47% # Type of FU issued
