
---------- Begin Simulation Statistics ----------
final_tick                                 7608824000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  41685                       # Simulator instruction rate (inst/s)
host_mem_usage                                 811456                       # Number of bytes of host memory used
host_op_rate                                    79090                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   239.89                       # Real time elapsed on the host
host_tick_rate                               31717568                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      18973114                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.007609                       # Number of seconds simulated
sim_ticks                                  7608824000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11215869                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  6740927                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      18973114                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.521765                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.521765                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    460129                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   245173                       # number of floating regfile writes
system.cpu.idleCycles                         1466702                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               145801                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2323703                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.439239                       # Inst execution rate
system.cpu.iew.exec_refs                      4462049                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1663884                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  742624                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2957079                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1286                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             10631                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1815547                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            23191887                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2798165                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            204128                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              21901841                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6571                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                428461                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 127203                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                438356                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           3629                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       112606                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          33195                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  24638125                       # num instructions consuming a value
system.cpu.iew.wb_count                      21740929                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.632005                       # average fanout of values written-back
system.cpu.iew.wb_producers                  15571424                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.428665                       # insts written-back per cycle
system.cpu.iew.wb_sent                       21826879                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 31617850                       # number of integer regfile reads
system.cpu.int_regfile_writes                17294005                       # number of integer regfile writes
system.cpu.ipc                               0.657132                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.657132                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            347352      1.57%      1.57% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17070914     77.22%     78.79% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                13903      0.06%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                  6371      0.03%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               15950      0.07%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3478      0.02%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                34587      0.16%     79.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   36      0.00%     79.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                22143      0.10%     79.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               59890      0.27%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2746      0.01%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               9      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt              72      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               7      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              8      0.00%     79.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.52% # Type of FU issued
