
---------- Begin Simulation Statistics ----------
final_tick                                 6291989500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  64245                       # Simulator instruction rate (inst/s)
host_mem_usage                                 885864                       # Number of bytes of host memory used
host_op_rate                                   125555                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   155.65                       # Real time elapsed on the host
host_tick_rate                               40422747                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000002                       # Number of instructions simulated
sim_ops                                      19543268                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006292                       # Number of seconds simulated
sim_ticks                                  6291989500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11583520                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  7104582                       # number of cc regfile writes
system.cpu.committedInsts                    10000002                       # Number of Instructions Simulated
system.cpu.committedOps                      19543268                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.258398                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.258398                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1046491                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   505932                       # number of floating regfile writes
system.cpu.idleCycles                          473478                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                96326                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2194838                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.760363                       # Inst execution rate
system.cpu.iew.exec_refs                      4206918                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1630626                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  794373                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2721190                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                390                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              6582                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1761448                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            23597922                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2576292                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            176539                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              22152375                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6676                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                591408                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  89460                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                600578                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            969                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        59123                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          37203                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  26753500                       # num instructions consuming a value
system.cpu.iew.wb_count                      22011060                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.597160                       # average fanout of values written-back
system.cpu.iew.wb_producers                  15976120                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.749133                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22095693                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 32318293                       # number of integer regfile reads
system.cpu.int_regfile_writes                17552188                       # number of integer regfile writes
system.cpu.ipc                               0.794661                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.794661                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            409385      1.83%      1.83% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17204428     77.05%     78.88% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                57847      0.26%     79.14% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 40817      0.18%     79.33% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               21938      0.10%     79.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     79.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     79.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     79.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     79.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     79.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     79.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     79.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                14681      0.07%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               149933      0.67%     80.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   54      0.00%     80.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                68104      0.31%     80.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               93844      0.42%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               7009      0.03%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               9      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             113      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             55      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              2416578     10.82%     91.74% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             1310114      5.87%     97.61% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          197602      0.88%     98.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         336303      1.51%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               22328916                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                  957629                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             1864377                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses       880834                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            1274863                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      478084                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.021411                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  389640     81.50%     81.50% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     81.50% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     81.50% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     81.50% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     81.50% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     81.50% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     81.50% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     81.50% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     81.50% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     81.50% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     81.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      4      0.00%     81.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     81.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                  12769      2.67%     84.17% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     84.17% # attempts to use FU when none available
