
---------- Begin Simulation Statistics ----------
final_tick                                 6335058500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  66609                       # Simulator instruction rate (inst/s)
host_mem_usage                                 886888                       # Number of bytes of host memory used
host_op_rate                                   130176                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   150.13                       # Real time elapsed on the host
host_tick_rate                               42197204                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000002                       # Number of instructions simulated
sim_ops                                      19543268                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006335                       # Number of seconds simulated
sim_ticks                                  6335058500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11627854                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  7124834                       # number of cc regfile writes
system.cpu.committedInsts                    10000002                       # Number of Instructions Simulated
system.cpu.committedOps                      19543268                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.267012                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.267012                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1062183                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   511870                       # number of floating regfile writes
system.cpu.idleCycles                          474544                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               108902                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2210449                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.757976                       # Inst execution rate
system.cpu.iew.exec_refs                      4223449                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1635009                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  821532                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2748970                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                405                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              7018                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1779389                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            23836194                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2588440                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            196268                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              22273767                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6815                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                669672                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 100181                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                679038                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            997                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        72865                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          36037                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  26922971                       # num instructions consuming a value
system.cpu.iew.wb_count                      22127900                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.597039                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16074054                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.746464                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22215296                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 32426143                       # number of integer regfile reads
system.cpu.int_regfile_writes                17647559                       # number of integer regfile writes
system.cpu.ipc                               0.789259                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.789259                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            408372      1.82%      1.82% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17317978     77.07%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                57717      0.26%     79.15% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 40310      0.18%     79.33% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               24022      0.11%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                14861      0.07%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               153346      0.68%     80.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   56      0.00%     80.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                68579      0.31%     80.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               93412      0.42%     80.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     80.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     80.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               7834      0.03%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               9      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             107      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             53      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.94% # Type of FU issued
