
---------- Begin Simulation Statistics ----------
final_tick                                 6313096000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  64188                       # Simulator instruction rate (inst/s)
host_mem_usage                                 885864                       # Number of bytes of host memory used
host_op_rate                                   125444                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   155.79                       # Real time elapsed on the host
host_tick_rate                               40522533                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000002                       # Number of instructions simulated
sim_ops                                      19543268                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006313                       # Number of seconds simulated
sim_ticks                                  6313096000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11601972                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  7123050                       # number of cc regfile writes
system.cpu.committedInsts                    10000002                       # Number of Instructions Simulated
system.cpu.committedOps                      19543268                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.262619                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.262619                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1049735                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   507887                       # number of floating regfile writes
system.cpu.idleCycles                          473880                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               101573                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2201185                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.761451                       # Inst execution rate
system.cpu.iew.exec_refs                      4225078                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1636592                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  806540                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2739681                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                371                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              6844                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1772904                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            23735586                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2588486                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            185988                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              22240421                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6807                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                606536                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  93697                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                615866                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1036                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        63714                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          37859                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  26831396                       # num instructions consuming a value
system.cpu.iew.wb_count                      22094100                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.597507                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16031959                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.749862                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22180825                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 32419736                       # number of integer regfile reads
system.cpu.int_regfile_writes                17619729                       # number of integer regfile writes
system.cpu.ipc                               0.792005                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.792005                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            413144      1.84%      1.84% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17275343     77.03%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                57930      0.26%     79.13% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 40728      0.18%     79.31% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               22392      0.10%     79.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     79.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     79.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     79.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     79.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     79.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     79.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     79.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                14771      0.07%     79.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     79.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               150449      0.67%     80.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   56      0.00%     80.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                68234      0.30%     80.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               93942      0.42%     80.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     80.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     80.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               7233      0.03%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               6      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             110      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             53      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     80.91% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              2429140     10.83%     91.74% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             1315489      5.87%     97.60% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          199030      0.89%     98.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         338256      1.51%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               22426411                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                  963613                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             1875546                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses       884018                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            1290717                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      482699                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.021524                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  392439     81.30%     81.30% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     81.30% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     81.30% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     81.30% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     81.30% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     81.30% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     81.30% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     81.30% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     81.30% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     81.30% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     81.30% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      6      0.00%     81.30% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     81.30% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                  12782      2.65%     83.95% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     83.95% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    347      0.07%     84.02% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   789      0.16%     84.19% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     84.19% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     84.19% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                  151      0.03%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     84.22% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                  17853      3.70%     87.92% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                 18781      3.89%     91.81% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead             22094      4.58%     96.38% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite            17457      3.62%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses               21532353                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads           55652642                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses     21210082                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes          26638107                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                   23730853                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                  22426411                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded                4733                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined         4192237                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued             40356                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved           3750                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined      5246474                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples      12152313                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         1.845444                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        2.424866                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0             6559396     53.98%     53.98% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1              729961      6.01%     59.98% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2              826608      6.80%     66.79% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3              882288      7.26%     74.05% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4              863278      7.10%     81.15% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::5              753158      6.20%     87.35% # Number of insts issued each cycle
