
---------- Begin Simulation Statistics ----------
final_tick                                 6344195000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  67990                       # Simulator instruction rate (inst/s)
host_mem_usage                                 883812                       # Number of bytes of host memory used
host_op_rate                                   132875                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   147.08                       # Real time elapsed on the host
host_tick_rate                               43134151                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000002                       # Number of instructions simulated
sim_ops                                      19543268                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006344                       # Number of seconds simulated
sim_ticks                                  6344195000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11628640                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  7121888                       # number of cc regfile writes
system.cpu.committedInsts                    10000002                       # Number of Instructions Simulated
system.cpu.committedOps                      19543268                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.268839                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.268839                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1057155                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   510424                       # number of floating regfile writes
system.cpu.idleCycles                          475393                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               107233                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2205583                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.752753                       # Inst execution rate
system.cpu.iew.exec_refs                      4215191                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1629043                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  810074                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2737195                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                424                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              6760                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1760655                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            23758930                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2586148                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            193443                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              22239620                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6949                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                662740                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  99958                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                672309                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            887                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        61495                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          45738                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  26886445                       # num instructions consuming a value
system.cpu.iew.wb_count                      22093754                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.597321                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16059840                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.741257                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22181578                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 32375206                       # number of integer regfile reads
system.cpu.int_regfile_writes                17627995                       # number of integer regfile writes
system.cpu.ipc                               0.788122                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.788122                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            405207      1.81%      1.81% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17298575     77.11%     78.92% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                57674      0.26%     79.18% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 40456      0.18%     79.36% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               22629      0.10%     79.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     79.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     79.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     79.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     79.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     79.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     79.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     79.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                14822      0.07%     79.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     79.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               152293      0.68%     80.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   62      0.00%     80.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                68591      0.31%     80.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               93580      0.42%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               7179      0.03%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               6      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             108      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             52      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.96% # Type of FU issued
