
---------- Begin Simulation Statistics ----------
final_tick                                 6312012000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  67539                       # Simulator instruction rate (inst/s)
host_mem_usage                                 885864                       # Number of bytes of host memory used
host_op_rate                                   131992                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   148.06                       # Real time elapsed on the host
host_tick_rate                               42630425                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000002                       # Number of instructions simulated
sim_ops                                      19543268                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006312                       # Number of seconds simulated
sim_ticks                                  6312012000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11591639                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  7113067                       # number of cc regfile writes
system.cpu.committedInsts                    10000002                       # Number of Instructions Simulated
system.cpu.committedOps                      19543268                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.262402                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.262402                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1048454                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   506516                       # number of floating regfile writes
system.cpu.idleCycles                          478924                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                98503                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2197538                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.757910                       # Inst execution rate
system.cpu.iew.exec_refs                      4213085                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1632197                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  804015                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2729032                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                384                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              6910                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1766345                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            23664523                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2580888                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            181489                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              22191901                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6683                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                604495                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  91341                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                613782                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1030                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        60944                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          37559                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  26802140                       # num instructions consuming a value
system.cpu.iew.wb_count                      22048889                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.597165                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16005309                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.746582                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22134318                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 32357003                       # number of integer regfile reads
system.cpu.int_regfile_writes                17585254                       # number of integer regfile writes
system.cpu.ipc                               0.792141                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.792141                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            410107      1.83%      1.83% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17239483     77.05%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                57900      0.26%     79.15% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 40759      0.18%     79.33% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               22115      0.10%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                14787      0.07%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               150358      0.67%     80.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   54      0.00%     80.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                68225      0.30%     80.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               93858      0.42%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               7222      0.03%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               6      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             107      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             52      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     80.92% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              2421836     10.82%     91.75% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             1311536      5.86%     97.61% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          197980      0.88%     98.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         336903      1.51%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               22373393                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                  959770                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             1868628                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses       881845                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            1282133                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      479337                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.021424                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  391451     81.67%     81.67% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     81.67% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     81.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     81.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     81.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     81.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     81.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     81.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     81.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     81.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     81.67% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      7      0.00%     81.67% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     81.67% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                  12823      2.68%     84.34% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     84.34% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    339      0.07%     84.41% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   797      0.17%     84.58% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     84.58% # attempts to use FU when none available
