
---------- Begin Simulation Statistics ----------
final_tick                                 5464151500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  75071                       # Simulator instruction rate (inst/s)
host_mem_usage                                 675124                       # Number of bytes of host memory used
host_op_rate                                   141488                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   133.21                       # Real time elapsed on the host
host_tick_rate                               41020016                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000001                       # Number of instructions simulated
sim_ops                                      18847133                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.005464                       # Number of seconds simulated
sim_ticks                                  5464151500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  12225223                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  5895672                       # number of cc regfile writes
system.cpu.committedInsts                    10000001                       # Number of Instructions Simulated
system.cpu.committedOps                      18847133                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.092830                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.092830                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    538087                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   328172                       # number of floating regfile writes
system.cpu.idleCycles                           86871                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                84530                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2204643                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.828110                       # Inst execution rate
system.cpu.iew.exec_refs                      4045090                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1652874                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  898031                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2453236                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 67                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1655                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1723252                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            20666716                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2392216                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            218773                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              19978142                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6954                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                711260                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  64560                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                725196                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            190                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        57018                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          27512                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  22607981                       # num instructions consuming a value
system.cpu.iew.wb_count                      19910446                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.609295                       # average fanout of values written-back
system.cpu.iew.wb_producers                  13774930                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.821915                       # insts written-back per cycle
system.cpu.iew.wb_sent                       19954971                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 31011040                       # number of integer regfile reads
system.cpu.int_regfile_writes                15921387                       # number of integer regfile writes
system.cpu.ipc                               0.915055                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.915055                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            193774      0.96%      0.96% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              15437554     76.44%     77.39% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                85434      0.42%     77.82% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                116702      0.58%     78.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               63817      0.32%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  493      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                22604      0.11%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                35669      0.18%     79.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              123209      0.61%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                376      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              2324045     11.51%     91.12% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             1524952      7.55%     98.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          109888      0.54%     99.22% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         158341      0.78%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               20196916                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                  552327                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             1094292                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses       507810                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes             782619                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      343543                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.017010                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  282997     82.38%     82.38% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     82.38% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     82.38% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     82.38% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     82.38% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     82.38% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     82.38% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     82.38% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     82.38% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     82.38% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     82.38% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      1      0.00%     82.38% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     82.38% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                     25      0.01%     82.38% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      2      0.00%     82.38% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                     97      0.03%     82.41% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                    19      0.01%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                  33320      9.70%     92.12% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                 16053      4.67%     96.79% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead               554      0.16%     96.95% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite            10475      3.05%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses               19794358                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads           50492694                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses     19402636                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes          21703843                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                   20666555                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                  20196916                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded                 161                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined         1819571                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued              8179                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved             95                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined      2263958                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples      10841433                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         1.862938                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        2.369974                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0             5547198     51.17%     51.17% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1              746500      6.89%     58.05% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2              905691      8.35%     66.41% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3              958159      8.84%     75.24% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4              767916      7.08%     82.33% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::5              615055      5.67%     88.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::6              725358      6.69%     94.69% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::7              338978      3.13%     97.82% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::8              236578      2.18%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::overflows            0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::min_value            0                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::max_value            8                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::total        10841433                       # Number of insts issued each cycle
system.cpu.iq.rate                           1.848129                       # Inst issue rate
system.cpu.iq.vec_alu_accesses                      0                       # Number of vector alu accesses
system.cpu.iq.vec_inst_queue_reads                  0                       # Number of vector instruction queue reads
system.cpu.iq.vec_inst_queue_wakeup_accesses            0                       # Number of vector instruction queue wakeup accesses
system.cpu.iq.vec_inst_queue_writes                 0                       # Number of vector instruction queue writes
system.cpu.memDep0.conflictingLoads             68597                       # Number of conflicting loads.
system.cpu.memDep0.conflictingStores            16930                       # Number of conflicting stores.
system.cpu.memDep0.insertedLoads              2453236                       # Number of loads inserted to the mem dependence unit.
system.cpu.memDep0.insertedStores             1723252                       # Number of stores inserted to the mem dependence unit.
