
---------- Begin Simulation Statistics ----------
final_tick                                 5478068000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  77249                       # Simulator instruction rate (inst/s)
host_mem_usage                                 675124                       # Number of bytes of host memory used
host_op_rate                                   145592                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   129.45                       # Real time elapsed on the host
host_tick_rate                               42317515                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000001                       # Number of instructions simulated
sim_ops                                      18847133                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.005478                       # Number of seconds simulated
sim_ticks                                  5478068000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  12204611                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  5898069                       # number of cc regfile writes
system.cpu.committedInsts                    10000001                       # Number of Instructions Simulated
system.cpu.committedOps                      18847133                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.095614                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.095614                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    529390                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   290649                       # number of floating regfile writes
system.cpu.idleCycles                           85743                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                74397                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2199984                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.830634                       # Inst execution rate
system.cpu.iew.exec_refs                      4081066                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1660437                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  899453                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2472075                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 61                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1760                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1707337                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            20745283                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2420629                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            196809                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              20056678                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   7225                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                715186                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  66385                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                729144                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            196                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        49800                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          24597                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  22684164                       # num instructions consuming a value
system.cpu.iew.wb_count                      19986094                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.610660                       # average fanout of values written-back
system.cpu.iew.wb_producers                  13852304                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.824192                       # insts written-back per cycle
system.cpu.iew.wb_sent                       20022585                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 31052697                       # number of integer regfile reads
system.cpu.int_regfile_writes                16019888                       # number of integer regfile writes
system.cpu.ipc                               0.912731                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.912731                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            198336      0.98%      0.98% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              15492022     76.49%     77.47% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                85880      0.42%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                116742      0.58%     78.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               42717      0.21%     78.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  472      0.00%     78.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                22637      0.11%     78.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     78.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                33297      0.16%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              121630      0.60%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                310      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     79.56% # Type of FU issued
