
---------- Begin Simulation Statistics ----------
final_tick                                 2913408500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 106933                       # Simulator instruction rate (inst/s)
host_mem_usage                                 705960                       # Number of bytes of host memory used
host_op_rate                                   191535                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    93.52                       # Real time elapsed on the host
host_tick_rate                               31153908                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      17911679                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.002913                       # Number of seconds simulated
sim_ticks                                  2913408500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   4846733                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  4229362                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      17911679                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.582682                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.582682                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  12296315                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  6923748                       # number of floating regfile writes
system.cpu.idleCycles                          141381                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                14039                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1111024                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.130983                       # Inst execution rate
system.cpu.iew.exec_refs                      2774964                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     482635                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  167948                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2306833                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 25                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1242                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               491830                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            18508957                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2292329                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             20231                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              18243668                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   1275                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 40453                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  12295                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 42286                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            145                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        10075                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           3964                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  24996845                       # num instructions consuming a value
system.cpu.iew.wb_count                      18230595                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.572850                       # average fanout of values written-back
system.cpu.iew.wb_producers                  14319455                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.128739                       # insts written-back per cycle
system.cpu.iew.wb_sent                       18235510                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 18630694                       # number of integer regfile reads
system.cpu.int_regfile_writes                 9625536                       # number of integer regfile writes
system.cpu.ipc                               1.716203                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.716203                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            316869      1.73%      1.73% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               9832937     53.84%     55.57% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                 1789      0.01%     55.58% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                101161      0.55%     56.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              424612      2.32%     58.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     58.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     58.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     58.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     58.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     58.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     58.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     58.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3168      0.02%     58.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     58.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               850784      4.66%     63.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   12      0.00%     63.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7388      0.04%     63.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              848345      4.64%     67.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  64      0.00%     67.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     67.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2642      0.01%     67.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     67.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     67.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     67.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         1405564      7.70%     75.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     75.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     75.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt          702996      3.85%     79.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               2      0.00%     79.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult         984239      5.39%     84.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     84.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     84.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     84.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     84.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     84.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     84.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     84.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     84.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     84.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     84.77% # Type of FU issued
