
---------- Begin Simulation Statistics ----------
final_tick                                 6384632500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  72213                       # Simulator instruction rate (inst/s)
host_mem_usage                                 724096                       # Number of bytes of host memory used
host_op_rate                                   115661                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   138.48                       # Real time elapsed on the host
host_tick_rate                               46105392                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000004                       # Number of instructions simulated
sim_ops                                      16016672                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006385                       # Number of seconds simulated
sim_ticks                                  6384632500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   9375479                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  8640754                       # number of cc regfile writes
system.cpu.committedInsts                    10000004                       # Number of Instructions Simulated
system.cpu.committedOps                      16016672                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.276926                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.276926                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1006949                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   531020                       # number of floating regfile writes
system.cpu.idleCycles                          134020                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                79474                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1401999                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.458713                       # Inst execution rate
system.cpu.iew.exec_refs                      4660417                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1587929                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1192423                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3371057                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                942                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2094                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1647147                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            20352875                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               3072488                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            176764                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              18626691                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   9922                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2311079                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  70455                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2324449                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            325                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        43046                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          36428                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  24515902                       # num instructions consuming a value
system.cpu.iew.wb_count                      18475182                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.563368                       # average fanout of values written-back
system.cpu.iew.wb_producers                  13811466                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.446848                       # insts written-back per cycle
system.cpu.iew.wb_sent                       18543330                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 30259554                       # number of integer regfile reads
system.cpu.int_regfile_writes                14905827                       # number of integer regfile writes
system.cpu.ipc                               0.783131                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.783131                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            217367      1.16%      1.16% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              13367020     71.09%     72.24% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   52      0.00%     72.24% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 43970      0.23%     72.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              131208      0.70%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1419      0.01%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 8866      0.05%     73.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     73.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                40414      0.21%     73.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     73.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                19426      0.10%     73.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              256389      1.36%     74.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     74.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     74.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4886      0.03%     74.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     74.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     74.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     74.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     74.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     74.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     74.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            8182      0.04%     74.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     74.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     74.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult           4186      0.02%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     75.00% # Type of FU issued
