
---------- Begin Simulation Statistics ----------
final_tick                                 6384269000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  74666                       # Simulator instruction rate (inst/s)
host_mem_usage                                 724100                       # Number of bytes of host memory used
host_op_rate                                   119590                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   133.93                       # Real time elapsed on the host
host_tick_rate                               47668899                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000004                       # Number of instructions simulated
sim_ops                                      16016672                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006384                       # Number of seconds simulated
sim_ticks                                  6384269000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   9373949                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  8640768                       # number of cc regfile writes
system.cpu.committedInsts                    10000004                       # Number of Instructions Simulated
system.cpu.committedOps                      16016672                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.276853                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.276853                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1008023                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   531974                       # number of floating regfile writes
system.cpu.idleCycles                          134251                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                80232                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1401671                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.458794                       # Inst execution rate
system.cpu.iew.exec_refs                      4660549                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1587055                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1189173                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3373936                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                936                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2310                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1646342                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            20361371                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               3073494                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            178003                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              18626664                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  10139                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2270018                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  71134                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2283616                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            329                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        43871                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          36361                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  24517307                       # num instructions consuming a value
system.cpu.iew.wb_count                      18474646                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.563381                       # average fanout of values written-back
system.cpu.iew.wb_producers                  13812592                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.446888                       # insts written-back per cycle
system.cpu.iew.wb_sent                       18543095                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 30254173                       # number of integer regfile reads
system.cpu.int_regfile_writes                14906118                       # number of integer regfile writes
system.cpu.ipc                               0.783175                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.783175                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            217359      1.16%      1.16% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              13367104     71.08%     72.24% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   53      0.00%     72.24% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 44024      0.23%     72.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              131607      0.70%     73.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     73.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1391      0.01%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 8861      0.05%     73.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     73.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                40653      0.22%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                19503      0.10%     73.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              256441      1.36%     74.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     74.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     74.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4900      0.03%     74.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     74.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     74.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     74.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     74.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     74.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     74.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            8215      0.04%     74.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     74.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     74.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult           4209      0.02%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     75.00% # Type of FU issued
