
---------- Begin Simulation Statistics ----------
final_tick                                  566264000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  54769                       # Simulator instruction rate (inst/s)
host_mem_usage                                2297656                       # Number of bytes of host memory used
host_op_rate                                    99789                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     7.09                       # Real time elapsed on the host
host_tick_rate                               79874512                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                      388260                       # Number of instructions simulated
sim_ops                                        707439                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000566                       # Number of seconds simulated
sim_ticks                                   566264000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                    507041                       # number of cc regfile reads
system.cpu.cc_regfile_writes                   352593                       # number of cc regfile writes
system.cpu.committedInsts                      388260                       # Number of Instructions Simulated
system.cpu.committedOps                        707439                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.458469                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.458469                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                     44608                       # number of floating regfile reads
system.cpu.fp_regfile_writes                    25272                       # number of floating regfile writes
system.cpu.idleCycles                           59003                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                 8838                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                    98119                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.697022                       # Inst execution rate
system.cpu.iew.exec_refs                       187810                       # number of memory reference insts executed
system.cpu.iew.exec_stores                      59025                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                   97722                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                144871                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 21                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts               376                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                67250                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts             1096931                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                128785                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             15554                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                960964                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   1544                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 17698                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                   7696                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 19974                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            166                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         6036                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           2802                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                   1206392                       # num instructions consuming a value
system.cpu.iew.wb_count                        950657                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.593404                       # average fanout of values written-back
system.cpu.iew.wb_producers                    715878                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.678820                       # insts written-back per cycle
system.cpu.iew.wb_sent                         957935                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                  1369031                       # number of integer regfile reads
system.cpu.int_regfile_writes                  769304                       # number of integer regfile writes
system.cpu.ipc                               0.685651                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.685651                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass             16261      1.67%      1.67% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                748742     76.67%     78.34% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                  108      0.01%     78.35% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                  3644      0.37%     78.72% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                1449      0.15%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  40      0.00%     78.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 1488      0.15%     79.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     79.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                 3515      0.36%     79.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                  396      0.04%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 3884      0.40%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                3094      0.32%     80.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     80.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     80.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1385      0.14%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.29% # Type of FU issued
