
---------- Begin Simulation Statistics ----------
final_tick                                  620000000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  42403                       # Simulator instruction rate (inst/s)
host_mem_usage                                2296632                       # Number of bytes of host memory used
host_op_rate                                    77253                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     9.16                       # Real time elapsed on the host
host_tick_rate                               67681266                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                      388423                       # Number of instructions simulated
sim_ops                                        707675                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000620                       # Number of seconds simulated
sim_ticks                                   620000000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                    529715                       # number of cc regfile reads
system.cpu.cc_regfile_writes                   373551                       # number of cc regfile writes
system.cpu.committedInsts                      388423                       # Number of Instructions Simulated
system.cpu.committedOps                        707675                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.596201                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.596201                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                     45915                       # number of floating regfile reads
system.cpu.fp_regfile_writes                    26305                       # number of floating regfile writes
system.cpu.idleCycles                           57944                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                13492                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                   103708                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.687034                       # Inst execution rate
system.cpu.iew.exec_refs                       204389                       # number of memory reference insts executed
system.cpu.iew.exec_stores                      62159                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  106221                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                165689                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 21                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts               932                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                74530                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts             1257664                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                142230                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             25252                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts               1045963                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   1603                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 19377                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  11704                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 21688                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            167                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         8848                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           4644                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                   1327044                       # num instructions consuming a value
system.cpu.iew.wb_count                       1032242                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.585536                       # average fanout of values written-back
system.cpu.iew.wb_producers                    777032                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.664904                       # insts written-back per cycle
system.cpu.iew.wb_sent                        1042020                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                  1470444                       # number of integer regfile reads
system.cpu.int_regfile_writes                  841993                       # number of integer regfile writes
system.cpu.ipc                               0.626488                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.626488                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass             19681      1.84%      1.84% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                818197     76.38%     78.22% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                  141      0.01%     78.23% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                  4461      0.42%     78.65% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                1456      0.14%     78.78% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.78% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 1502      0.14%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                 3706      0.35%     79.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                  390      0.04%     79.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 3941      0.37%     79.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                3413      0.32%     80.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     80.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     80.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1315      0.12%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     80.12% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead               134897     12.59%     92.71% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite               50480      4.71%     97.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead           13379      1.25%     98.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite          14224      1.33%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total                1071215                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                   47677                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads               92937                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses        41749                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes              82353                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                       30482                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.028456                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                   21695     71.17%     71.17% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     71.17% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     71.17% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     71.17% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     71.17% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     71.17% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     71.17% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     71.17% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     71.17% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     71.17% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     71.17% # attempts to use FU when none available
