
---------- Begin Simulation Statistics ----------
final_tick                                 1524759000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  56657                       # Simulator instruction rate (inst/s)
host_mem_usage                                2369420                       # Number of bytes of host memory used
host_op_rate                                   108380                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    21.55                       # Real time elapsed on the host
host_tick_rate                               70742565                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     1221148                       # Number of instructions simulated
sim_ops                                       2335976                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.001525                       # Number of seconds simulated
sim_ticks                                  1524759000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   1653848                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  1029721                       # number of cc regfile writes
system.cpu.committedInsts                     1221148                       # Number of Instructions Simulated
system.cpu.committedOps                       2335976                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.248628                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.248628                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    263664                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   167683                       # number of floating regfile writes
system.cpu.idleCycles                           58668                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                13040                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                   296868                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.976017                       # Inst execution rate
system.cpu.iew.exec_refs                       674888                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     275832                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  169900                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                422052                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 31                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts               413                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               298464                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts             3245469                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                399056                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             24779                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts               3012951                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   3181                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 15486                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  14038                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 19225                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            192                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         8224                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           4816                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                   3580952                       # num instructions consuming a value
system.cpu.iew.wb_count                       2962264                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.589551                       # average fanout of values written-back
system.cpu.iew.wb_producers                   2111154                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.942774                       # insts written-back per cycle
system.cpu.iew.wb_sent                        3008170                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                  4209643                       # number of integer regfile reads
system.cpu.int_regfile_writes                 2199747                       # number of integer regfile writes
system.cpu.ipc                               0.800879                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.800879                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass             86362      2.84%      2.84% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               2180660     71.79%     74.63% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                 2220      0.07%     74.70% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                  4255      0.14%     74.84% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                3959      0.13%     74.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     74.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     74.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     74.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     74.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     74.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     74.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     74.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3192      0.11%     75.08% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     75.08% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                37944      1.25%     76.33% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                  522      0.02%     76.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                15055      0.50%     76.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               18013      0.59%     77.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2737      0.09%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               4      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt              24      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             15      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.52% # Type of FU issued
