
---------- Begin Simulation Statistics ----------
final_tick                                 1734536000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  51546                       # Simulator instruction rate (inst/s)
host_mem_usage                                2369416                       # Number of bytes of host memory used
host_op_rate                                    98605                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    23.69                       # Real time elapsed on the host
host_tick_rate                               73215486                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     1221153                       # Number of instructions simulated
sim_ops                                       2336020                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.001735                       # Number of seconds simulated
sim_ticks                                  1734536000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   1721225                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  1099419                       # number of cc regfile writes
system.cpu.committedInsts                     1221153                       # Number of Instructions Simulated
system.cpu.committedOps                       2336020                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.420409                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.420409                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    288933                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   183168                       # number of floating regfile writes
system.cpu.idleCycles                           59335                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                28729                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                   320354                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.936819                       # Inst execution rate
system.cpu.iew.exec_refs                       744411                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     292795                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  229100                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                506912                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                325                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              3168                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               343581                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts             3864479                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                451616                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             59158                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts               3359485                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   2257                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 15922                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  27261                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 18477                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            190                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        17292                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          11437                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                   3881829                       # num instructions consuming a value
system.cpu.iew.wb_count                       3295229                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.601390                       # average fanout of values written-back
system.cpu.iew.wb_producers                   2334495                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.899774                       # insts written-back per cycle
system.cpu.iew.wb_sent                        3351030                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                  4621802                       # number of integer regfile reads
system.cpu.int_regfile_writes                 2474112                       # number of integer regfile writes
system.cpu.ipc                               0.704022                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.704022                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            101780      2.98%      2.98% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               2446955     71.58%     74.55% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                 2484      0.07%     74.63% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                  4911      0.14%     74.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                4951      0.14%     74.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     74.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     74.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     74.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     74.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     74.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     74.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     74.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3250      0.10%     75.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     75.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                48934      1.43%     76.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                  684      0.02%     76.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                15924      0.47%     76.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               18970      0.55%     77.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     77.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     77.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2948      0.09%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               4      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               4      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt              24      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             15      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     77.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     77.57% # Type of FU issued
