
---------- Begin Simulation Statistics ----------
final_tick                                   47858000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 191491                       # Simulator instruction rate (inst/s)
host_mem_usage                                2219508                       # Number of bytes of host memory used
host_op_rate                                   348699                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     0.26                       # Real time elapsed on the host
host_tick_rate                               65553087                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                       49069                       # Number of instructions simulated
sim_ops                                         89448                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000017                       # Number of seconds simulated
sim_ticks                                    16820000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     41457                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    33058                       # number of cc regfile writes
system.cpu.committedInsts                       41160                       # Number of Instructions Simulated
system.cpu.committedOps                         74127                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.408649                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.408649                       # CPI: Total CPI of All Threads
system.cpu.iew.branchMispredicts                   39                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     8302                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     4.437396                       # Inst execution rate
system.cpu.iew.exec_refs                           18                       # number of memory reference insts executed
system.cpu.iew.exec_stores                          9                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                      79                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                    17                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  7                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                   24                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts               74866                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                     9                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts                53                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                 74637                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      0                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                     0                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                     39                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                     0                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents              0                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect            6                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             33                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                    115336                       # num instructions consuming a value
system.cpu.iew.wb_count                         74637                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.573446                       # average fanout of values written-back
system.cpu.iew.wb_producers                     66139                       # num instructions producing a value
system.cpu.iew.wb_rate                       4.437396                       # insts written-back per cycle
system.cpu.iew.wb_sent                          74637                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                    99181                       # number of integer regfile reads
system.cpu.int_regfile_writes                   66290                       # number of integer regfile writes
system.cpu.ipc                               2.447087                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         2.447087                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                36      0.05%      0.05% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                 74630     99.92%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     99.97% # Type of FU issued
